Category19,Category18,Category17,qid,qid2017,Category Name,Level,Version,Scale,scalecode,Reverse,Question Text,R1,R2,R3,R4,R5
5-B-i,5-B-i,5-B-i,s-grit-q2,s5biq2,Perseverance and determination,Students,B,Grit,s-grit,,How important is it to you to finish things you start?,Not at all important,Slightly important,Somewhat important,Quite important,Extremely important
5-B-i,5-B-i,5-B-i,s-grit-q3,s5biq3,Perseverance and determination,Students,B,Grit,s-grit,,"How confident are you that you can remain focused on what you are doing, even when there are distractions?",Not at all confident,Slightly confident,Somewht confident,Quite confident,Extremely confident
5-B-i,5-B-i,5-B-i,s-grit-q4,s5biq4,Perseverance and determination,Students,B,Grit,s-grit,,"If you fail to reach an important goal, how likely are you to try again?",Not likely at all,Slightly likely,Somewhat likely,Quite likely,Extremely likely
5-B-ii,5-B-ii,5-B-ii,s-grmi-q1,s5biiq1,Growth mindset,Students,A,Growth mindset,s-grmi,,How much do you think you can change your own intelligence?,Can't change it at all,Can change it a bit,Can change it somewhat,Can change it significantly,Can change it tremendously
5-B-ii,5-B-ii,5-B-ii,s-grmi-q2,s5biiq2,Growth mindset,Students,A,Growth mindset,s-grmi,,How much do you think that being bad at math is something someone can change?,Can't change it at all,Can change it a bit,Can change it somewhat,Can change it significantly,Can change it tremendously
5-B-ii,5-B-ii,,s-grmi-q3,,Growth mindset,Students,A,Growth mindset,s-grmi,,How much do you think that struggling as a writer is something someone can change?,Can't change it at all,Can change it a bit,Can change it somewhat,Can change it significantly,Can change it tremendously
5-B-ii,5-B-ii,5-B-ii,s-grmi-q4,s5biiq3,Growth mindset,Students,A,Growth mindset,s-grmi,1,How much do you think that struggling to understand something means you're bad at it?,Don't think that at all,Think that a little bit,Think that somewhat,Think that quite a bit,Think that very much
5-C-i,5-C-i,5-C-i,t-expa-q1,t5ciq1,Participation in creative and performaing arts,Teachers,,Exposure to arts,t-expa,,"In a typical week at your school, what is the minimum amount of time a student could spend in creative arts instruction or activities?",Less than one hour,One hour per week,Two or three hours per week,Four or five hours per week,More than five hours per week
5-C-i,5-C-i,5-C-i,t-expa-q2,t5ciq2,Participation in creative and performaing arts,Teachers,,Exposure to arts,t-expa,,"In a typical week at your school, what is the average amount of time students spend in creative arts instruction or activities?",Less than one hour,One hour per week,Two or three hours per week,Four or five hours per week,More than five hours per week
5-C-i,5-C-i,5-C-i,t-expa-q3,t5ciq3,Participation in creative and performaing arts,Teachers,,Exposure to arts,t-expa,,"In a typical week at your school, what is the maximum amount of time a student could spend in creative arts instruction or activities?",Less than one hour,One hour per week,Two or three hours per week,Four or five hours per week,More than five hours per week
5-C-i,5-C-i,5-C-i,s-expa-q1,s5ciq1,Participation in creative and performaing arts,Students,B,Exposure to arts,s-expa,,"In a typical week, how much time do you spend in creative arts instruction or activities?",Less than one hour,One hour per week,Two or three hours per week,Four or five hours per week,More than five hours per week
5-C-ii,5-C-ii,5-C-ii,s-appa-q1,s5ciiq1,Valuing creative and performing arts,Students,A,Appreciation for arts,s-appa,,"If your friends or family wanted to go to an art museum, how interested would you be in going?",Not at all interested,Slightly interested,Somewhat interested,Quite interested,Extremely interested
5-C-ii,5-C-ii,5-C-ii,s-appa-q2,s5ciiq2,Valuing creative and performing arts,Students,A,Appreciation for arts,s-appa,,"If your friends or family wanted to go to hear people play music, how interested would you be in going?",Not at all interested,Slightly interested,Somewhat interested,Quite interested,Extremely interested
5-C-ii,5-C-ii,5-C-ii,s-appa-q3,s5ciiq3,Valuing creative and performing arts,Students,A,Appreciation for arts,s-appa,,"If your friends or family wanted to go to a play, how interested would you be in going?",Not at all interested,Slightly interested,Somewhat interested,Quite interested,Extremely interested
5-D-i,5-D-i,5-D-i,s-poaf-q1,s5diq1,Social emotional health,Students,B,Positive affect,s-poaf,,"On a regular day at school, how often do you feel relaxed? ",Almost never relaxed,Rarely relaxed,Sometimes relaxed,Often relaxed,Very often relaxed
5-D-i,5-D-i,5-D-i,s-poaf-q2,s5diq2,Social emotional health,Students,B,Positive affect,s-poaf,,How often are you enthusiastic at school? ,Almost never enthusiastic,Rarely enthusiastic,Sometimes enthusiastic,Often enthusiastic,Almost always enthusiastic
5-D-i,5-D-i,5-D-i,s-poaf-q3,s5diq3,Social emotional health,Students,B,Positive affect,s-poaf,,"On a normal day in school, how confident do you feel? ",Not at all confident,A bit confident,Somewhat confident,Significantly confident,Very confident
5-D-i,5-D-i,5-D-i,s-poaf-q4,s5diq4,Social emotional health,Students,B,Positive affect,s-poaf,,"On a normal day in school, how much are you able to concentrate? ",Can't concentrate at all,Can concentrate a bit,Can concentrate somewhat,Can concentrate well,Can concentrate extremely well
5-D-i,5-D-i,,s-acst-q1,,Social emotional health,Students,B,Academic stress,s-acst,1,"On a typical day in school, how stressed do you feel about your schoolwork?",Not at all stressed,A little bit stressed,Somewhat stressed,Quite stressed,Extremely stressed
5-D-i,5-D-i,,s-acst-q2,,Social emotional health,Students,B,Academic stress,s-acst,1,"When you take a test, how much do you worry about doing well?",Not at all worried,A little bit worried,Somewhat worried,Quite worried,Extremely worried
5-D-i,5-D-i,,s-acst-q3,,Social emotional health,Students,B,Academic stress,s-acst,1,How much do you think that your grades and test scores will determine your future?,Don't think that at all,Think that a little bit,Think that somewhat,Think that quite a bit,Think that very much
5-D-ii,5-D-ii,5-D-ii,t-phya-q1,t5diiq1,Physical health,Teachers,,Physical activity,t-phya,,"In a typical week at your school, what is the minimum amount of time a student could spend engaged in physical activity?",Less than one hour,One hour per week,Two or three hours per week,Four or five hours per week,More than five hours per week
5-D-ii,5-D-ii,5-D-ii,t-phya-q2,t5diiq2,Physical health,Teachers,,Physical activity,t-phya,,"In a typical week at your school, what is the average amount of time students spend engaged in physical activity?",Less than one hour,One hour per week,Two or three hours per week,Four or five hours per week,More than five hours per week
5-D-ii,5-D-ii,5-D-ii,t-phya-q3,t5diiq3,Physical health,Teachers,,Physical activity,t-phya,,"In a typical week at your school, what is the maximum amount of time a student could spend engaged in physical activity?",Less than one hour,One hour per week,Two or three hours per week,Four or five hours per week,More than five hours per week
