Category,Category ID,Category Description,Category Short Description,Subcategory,Subcategory ID,Subcategory Description,Measures,Measure Description,Measure ID,Source,Source Notes,Show items in accordion?,Active admin & survey items,Question/item (22-23),Question/item (21-22),Question/item (20-21),Original Item (19-20 surveys),Original Item (18-19 surveys),Original Item (17-18 surveys),Original Item (16-17 surveys),Survey Item ID,Reverse Scored,HS only admin item?,On Short Form?,Qualtrics ID,Admin Data Benchmark (Absolute) ,Admin Data Unit (Absolute) ,Item Warning High,Item Watch Low,Item Watch High,Item Growth Low,Item Growth High,Item Approval Low,Item Approval High,Item Ideal Low,
Community & Wellbeing,5,"Measures the development of traits relevant for students leading full and rewarding lives—in society, the workplace, and their private lives. It considers factors like perseverance and determination, participation in arts and literature, and social and emotional health.","Measures the development of traits relevant for students leading full and rewarding lives—in society, the workplace, and their private lives.",Creative & Performing Arts,5C,Seeks to determine the degree to which students are being nurtured as artistic and creative people. It includes measures of participation in creative & performing arts and valuing creative & performing arts.,Valuing Creative & Performing Arts,Draws on anonymous student reports about their interest in creative or performing arts.,5C-ii,Students,,TRUE,TRUE,"How interested are you in performance art—dance performances, plays in the park, going to the theater, etc.?","How interested are you in performance art—dance performances, plays in the park, going to the theater, etc.?","How interested are you in performance art—dance performances, plays in the park, going to the theater, etc.?","How interested are you in performance art—dance performances, plays in the park, going to the theater, etc.?","If your friends or family wanted to go to a play, how interested would you be in going?","If your friends or family wanted to go to a play, how interested would you be in going?","If your friends or family wanted to go to a play, how interested would you be in going?",s-appa-q3,,,,Q39,,,2.23,2.24,2.74,2.75,3.24,3.25,4.3,4.31,
Community & Wellbeing,5,"Measures the development of traits relevant for students leading full and rewarding lives—in society, the workplace, and their private lives. It considers factors like perseverance and determination, participation in arts and literature, and social and emotional health.","Measures the development of traits relevant for students leading full and rewarding lives—in society, the workplace, and their private lives.",Civic Engagement,5A,Seeks to determine the degree to which students are prepared to thoughtfully interact with others in a diverse society and work towards social equity. It includes the measures of appreciation for diversity and civic participation. ,Civic Participation,Draws on anonymous student reports about their commitment to social awareness and community improvement.,5A-ii,Students,,TRUE,TRUE,"How much do you believe that being concerned with national, state, and local issues is everyone's responsibility?","How much do you believe that being concerned with national, state, and local issues is everyone's responsibility?","How much do you believe that being concerned with national, state, and local issues is everyone's responsibility?","How much do you believe that being concerned with national, state, and local issues is everyone's responsibility?","How much do you believe that being concerned with national, state, and local issues is everyone's responsibility?","How much do you believe that being concerned with national, state, and local issues is everyone's responsibility?","How much do you believe that being concerned with national, state, and local issues is everyone's responsibility?",s-civp-q1,,,,Q30,,,2.48,2.49,2.99,3,3.49,3.5,4.4,4.41,
Community & Wellbeing,5,"Measures the development of traits relevant for students leading full and rewarding lives—in society, the workplace, and their private lives. It considers factors like perseverance and determination, participation in arts and literature, and social and emotional health.","Measures the development of traits relevant for students leading full and rewarding lives—in society, the workplace, and their private lives.",Civic Engagement,5A,Seeks to determine the degree to which students are prepared to thoughtfully interact with others in a diverse society and work towards social equity. It includes the measures of appreciation for diversity and civic participation. ,Civic Participation,Draws on anonymous student reports about their commitment to social awareness and community improvement.,5A-ii,Students,,TRUE,TRUE,How important is it to you to get involved in improving your community?,How important is it to you to get involved in improving your community?,How important is it to you to get involved in improving your community?,How important is it to you to get involved in improving your community?,How important is it to you to get involved in improving your community?,How important is it to you to get involved in improving your community?,How important is it to you to get involved in improving your community?,s-civp-q2,,,,Q31,,,2.48,2.49,2.99,3,3.49,3.5,4.4,4.41,
Community & Wellbeing,5,"Measures the development of traits relevant for students leading full and rewarding lives—in society, the workplace, and their private lives. It considers factors like perseverance and determination, participation in arts and literature, and social and emotional health.","Measures the development of traits relevant for students leading full and rewarding lives—in society, the workplace, and their private lives.",Civic Engagement,5A,Seeks to determine the degree to which students are prepared to thoughtfully interact with others in a diverse society and work towards social equity. It includes the measures of appreciation for diversity and civic participation. ,Civic Participation,Draws on anonymous student reports about their commitment to social awareness and community improvement.,5A-ii,Students,,TRUE,TRUE,How important is it to you to actively challenge inequalities in society?,How important is it to you to actively challenge inequalities in society?,How important is it to you to actively challenge inequalities in society?,How important is it to you to actively challenge inequalities in society?,How important is it to you to actively challenge inequalities in society?,How important is it to you to actively challenge inequalities in society?,How important is it to you to actively challenge inequalities in society?,s-civp-q3,,,,Q32,,,2.48,2.49,2.99,3,3.49,3.5,4.4,4.41,
Community & Wellbeing,5,"Measures the development of traits relevant for students leading full and rewarding lives—in society, the workplace, and their private lives. It considers factors like perseverance and determination, participation in arts and literature, and social and emotional health.","Measures the development of traits relevant for students leading full and rewarding lives—in society, the workplace, and their private lives.",Civic Engagement,5A,Seeks to determine the degree to which students are prepared to thoughtfully interact with others in a diverse society and work towards social equity. It includes the measures of appreciation for diversity and civic participation. ,Civic Participation,Draws on anonymous student reports about their commitment to social awareness and community improvement.,5A-ii,Students,,TRUE,TRUE,How important is it to you to take action when something in society needs changing?,How important is it to you to take action when something in society needs changing?,How important is it to you to take action when something in society needs changing?,How important is it to you to take action when something in society needs changing?,How important is it to you to take action when something in society needs changing?,How important is it to you to take action when something in society needs changing?,How important is it to you to take action when something in society needs changing?,s-civp-q4,,,X,Q33,,,2.48,2.49,2.99,3,3.49,3.5,4.4,4.41,
Resources,3,"Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community. It considers factors like physical spaces and materials, class size, and family-school relationships.","Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.",Learning Resources,3B,"Seeks to determine the degree to which a school's curriculum is appropriately challenging and diverse. It includes measures of curricular strength & variety, cultural responsiveness and co-curricular activities.",Cultural Responsiveness,Draws on anonymous student reports on the degree to which the curriculum adequately represents diverse cultures and perspectives. It also draws on anonymous teacher responses about the degree to which they are adequately supported and prepared to teach in a culturally responsive manner.,3B-ii,Students,,TRUE,TRUE,"In your classes, how often do you see people like you represented in what you study?","In your classes, how often do you see people like you represented in what you study?","In your classes, how often do you see people like you represented in what you study?","In your classes, how often do you see people like you represented in what you study?","In your classes, how often do you see people like you represented in what you study?","In your classes, how often do you see people like you represented in what you study?",Not in the 16-17 Surveys,s-cure-q1,,,,Q129,,,2.33,2.34,2.84,2.85,3.34,3.35,4.6,4.61,
Resources,3,"Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community. It considers factors like physical spaces and materials, class size, and family-school relationships.","Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.",Learning Resources,3B,"Seeks to determine the degree to which a school's curriculum is appropriately challenging and diverse. It includes measures of curricular strength & variety, cultural responsiveness and co-curricular activities.",Cultural Responsiveness,Draws on anonymous student reports on the degree to which the curriculum adequately represents diverse cultures and perspectives. It also draws on anonymous teacher responses about the degree to which they are adequately supported and prepared to teach in a culturally responsive manner.,3B-ii,Students,,TRUE,TRUE,"In your classes, how often do you see many different kinds of people represented in what you study?","In your classes, how often do you see many different kinds of people represented in what you study?","In your classes, how often do you see many different kinds of people represented in what you study?","In your classes, how often do you see many different kinds of people represented in what you study?","In your classes, how often do you see many different kinds of people represented in what you study?","In your classes, how often do you see many different kinds of people represented in what you study?",Not in the 16-17 Surveys,s-cure-q2,,,,Q130,,,2.33,2.34,2.84,2.85,3.34,3.35,4.6,4.61,
Resources,3,"Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community. It considers factors like physical spaces and materials, class size, and family-school relationships.","Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.",Learning Resources,3B,"Seeks to determine the degree to which a school's curriculum is appropriately challenging and diverse. It includes measures of curricular strength & variety, cultural responsiveness and co-curricular activities.",Cultural Responsiveness,Draws on anonymous student reports on the degree to which the curriculum adequately represents diverse cultures and perspectives. It also draws on anonymous teacher responses about the degree to which they are adequately supported and prepared to teach in a culturally responsive manner.,3B-ii,Students,,TRUE,TRUE,How valued do you think all students' home cultures and languages are in the school curriculum?,How valued do you think all students' home cultures and languages are in the school curriculum?,How valued do you think all students' home cultures and languages are in the school curriculum?,How valued do you think all students' home cultures and languages are in the school curriculum?,How valued do you think all students' home cultures and languages are in the school curriculum?,How valued do you think all students' home cultures and languages are in the school curriculum?,Not in the 16-17 Surveys,s-cure-q3,,,,Q131,,,2.33,2.34,2.84,2.85,3.34,3.35,4.6,4.61,
Resources,3,"Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community. It considers factors like physical spaces and materials, class size, and family-school relationships.","Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.",Learning Resources,3B,"Seeks to determine the degree to which a school's curriculum is appropriately challenging and diverse. It includes measures of curricular strength & variety, cultural responsiveness and co-curricular activities.",Cultural Responsiveness,Draws on anonymous student reports on the degree to which the curriculum adequately represents diverse cultures and perspectives. It also draws on anonymous teacher responses about the degree to which they are adequately supported and prepared to teach in a culturally responsive manner.,3B-ii,Students,,TRUE,TRUE,How valued do you think your home culture and language are in the school curriculum?,How valued do you think your home culture and language are in the school curriculum?,How valued do you think your home culture and language are in the school curriculum?,How valued do you think your home culture and language are in the school curriculum?,How valued do you think your home culture and language are in the school curriculum?,How valued do you think your home culture and language are in the school curriculum?,Not in the 16-17 Surveys,s-cure-q4,,,X,Q132,,,2.33,2.34,2.84,2.85,3.34,3.35,4.6,4.61,
School Culture,2,"Measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student-teacher relationships, and student valuing of learning.","Measures the degree to which the school environment is safe, caring, and academically-oriented.",Safety,2A,Seeks to determine the degree to which school climate is a safe place for students to learn. It includes measures of student physical safety and student emotional safety. ,Student Emotional Safety,Draws on anonymous student and teacher reports about the nature of student relationships with each other.,2A-ii,Students,,TRUE,TRUE,How often are students unkind to each other at this school?,How often are students unkind to each other at this school?,How often are students unkind to each other at this school?,How often are students unkind to each other at this school?,How often are students unkind to each other at this school?,How often are students unkind to each other at this school?,How worried are you that you will be bullied because of who you are?,s-emsa-q1,X,,X,Q7,,,2.78,2.79,3.29,3.3,3.79,3.8,4.5,4.51,
School Culture,2,"Measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student-teacher relationships, and student valuing of learning.","Measures the degree to which the school environment is safe, caring, and academically-oriented.",Safety,2A,Seeks to determine the degree to which school climate is a safe place for students to learn. It includes measures of student physical safety and student emotional safety. ,Student Emotional Safety,Draws on anonymous student and teacher reports about the nature of student relationships with each other.,2A-ii,Students,,TRUE,TRUE,How often are students at this school unkind to each other online?,How often are students at this school unkind to each other online?,How often are students at this school unkind to each other online?,How often are students at this school unkind to each other online?,How often are students at this school unkind to each other online?,How often are students at this school unkind to each other online?,How often do you think students at your school are bullied online?,s-emsa-q2,X,,,Q8,,,2.78,2.79,3.29,3.3,3.79,3.8,4.5,4.51,
School Culture,2,"Measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student-teacher relationships, and student valuing of learning.","Measures the degree to which the school environment is safe, caring, and academically-oriented.",Safety,2A,Seeks to determine the degree to which school climate is a safe place for students to learn. It includes measures of student physical safety and student emotional safety. ,Student Emotional Safety,Draws on anonymous student and teacher reports about the nature of student relationships with each other.,2A-ii,Students,,TRUE,TRUE,How much bullying occurs at this school?,How much bullying occurs at this school?,How much bullying occurs at this school?,How much bullying occurs at this school?,How much bullying occurs at this school?,How much bullying occurs at this school?,How often do you observe students teasing other students at your school? (NOT USED IN THE SCORE),s-emsa-q3,X,,,Q9,,,2.78,2.79,3.29,3.3,3.79,3.8,4.5,4.51,
Community & Wellbeing,5,"Measures the development of traits relevant for students leading full and rewarding lives—in society, the workplace, and their private lives. It considers factors like perseverance and determination, participation in arts and literature, and social and emotional health.","Measures the development of traits relevant for students leading full and rewarding lives—in society, the workplace, and their private lives.",Creative & Performing Arts,5C,Seeks to determine the degree to which students are being nurtured as artistic and creative people. It includes measures of participation in creative & performing arts and valuing creative & performing arts.,Participation In Creative & Performing Arts,Draws on anonymous teacher and student reports about the frequency of student exposure to creative and performing arts. It also includes a measure of student art instruction per week. ,5C-i,Students,,TRUE,TRUE,"In a typical week, how much time do you spend in creative arts instruction or activities?","In a typical week, how much time do you spend in creative arts instruction or activities?","In a typical week, how much time do you spend in creative arts instruction or activities?","In a typical week, how much time do you spend in creative arts instruction or activities?","In a typical week, how much time do you spend in creative arts instruction or activities?","In a typical week, how much time do you spend in creative arts instruction or activities?","In a typical week, how much time do you spend in creative arts instruction or activities?",s-expa-q1,,,X,Q68,,,2.23,2.24,2.74,2.75,3.24,3.25,4.3,4.31,
Community & Wellbeing,5,"Measures the development of traits relevant for students leading full and rewarding lives—in society, the workplace, and their private lives. It considers factors like perseverance and determination, participation in arts and literature, and social and emotional health.","Measures the development of traits relevant for students leading full and rewarding lives—in society, the workplace, and their private lives.",Work Ethic,5B,"Seeks to determine the degree to which students are willing to work hard on challenging tasks, even in light of setbacks. It includes measures of perseverance & determination and growth mindset.",Perseverance & Determination,"Draws on anonymous student reports about their ability to pursue goals, work hard in spite of challenges, and finish what they start.",5B-i,Students,,TRUE,TRUE,"If you face a problem while working towards an important goal, how well can you keep working?","If you face a problem while working towards an important goal, how well can you keep working?","If you face a problem while working towards an important goal, how well can you keep working?","If you face a problem while working towards an important goal, how well can you keep working?","If you face a problem while working towards an important goal, how well can you keep working?","If you face a problem while working towards an important goal, how well can you keep working?","If you face a problem while working towards an important goal, how well can you keep working?",s-grit-q1,,,X,Q63,,,2.23,2.24,2.74,2.75,3.24,3.25,4.3,4.31,
Community & Wellbeing,5,"Measures the development of traits relevant for students leading full and rewarding lives—in society, the workplace, and their private lives. It considers factors like perseverance and determination, participation in arts and literature, and social and emotional health.","Measures the development of traits relevant for students leading full and rewarding lives—in society, the workplace, and their private lives.",Work Ethic,5B,"Seeks to determine the degree to which students are willing to work hard on challenging tasks, even in light of setbacks. It includes measures of perseverance & determination and growth mindset.",Perseverance & Determination,"Draws on anonymous student reports about their ability to pursue goals, work hard in spite of challenges, and finish what they start.",5B-i,Students,,TRUE,TRUE,How important is it to you to finish things you start?,How important is it to you to finish things you start?,How important is it to you to finish things you start?,How important is it to you to finish things you start?,How important is it to you to finish things you start?,How important is it to you to finish things you start?,How important is it to you to finish things you start?,s-grit-q2,,,,Q64,,,2.23,2.24,2.74,2.75,3.24,3.25,4.3,4.31,
Community & Wellbeing,5,"Measures the development of traits relevant for students leading full and rewarding lives—in society, the workplace, and their private lives. It considers factors like perseverance and determination, participation in arts and literature, and social and emotional health.","Measures the development of traits relevant for students leading full and rewarding lives—in society, the workplace, and their private lives.",Work Ethic,5B,"Seeks to determine the degree to which students are willing to work hard on challenging tasks, even in light of setbacks. It includes measures of perseverance & determination and growth mindset.",Perseverance & Determination,"Draws on anonymous student reports about their ability to pursue goals, work hard in spite of challenges, and finish what they start.",5B-i,Students,,TRUE,TRUE,"How confident are you that you can remain focused on what you are doing, even when there are distractions?","How confident are you that you can remain focused on what you are doing, even when there are distractions?","How confident are you that you can remain focused on what you are doing, even when there are distractions?","How confident are you that you can remain focused on what you are doing, even when there are distractions?","How confident are you that you can remain focused on what you are doing, even when there are distractions?","How confident are you that you can remain focused on what you are doing, even when there are distractions?","How confident are you that you can remain focused on what you are doing, even when there are distractions?",s-grit-q3,,,,Q65,,,2.23,2.24,2.74,2.75,3.24,3.25,4.3,4.31,
Community & Wellbeing,5,"Measures the development of traits relevant for students leading full and rewarding lives—in society, the workplace, and their private lives. It considers factors like perseverance and determination, participation in arts and literature, and social and emotional health.","Measures the development of traits relevant for students leading full and rewarding lives—in society, the workplace, and their private lives.",Work Ethic,5B,"Seeks to determine the degree to which students are willing to work hard on challenging tasks, even in light of setbacks. It includes measures of perseverance & determination and growth mindset.",Perseverance & Determination,"Draws on anonymous student reports about their ability to pursue goals, work hard in spite of challenges, and finish what they start.",5B-i,Students,,TRUE,TRUE,"If you fail to reach an important goal, how likely are you to try again?","If you fail to reach an important goal, how likely are you to try again?","If you fail to reach an important goal, how likely are you to try again?","If you fail to reach an important goal, how likely are you to try again?","If you fail to reach an important goal, how likely are you to try again?","If you fail to reach an important goal, how likely are you to try again?","If you fail to reach an important goal, how likely are you to try again?",s-grit-q4,,,,Q66,,,2.23,2.24,2.74,2.75,3.24,3.25,4.3,4.31,
Community & Wellbeing,5,"Measures the development of traits relevant for students leading full and rewarding lives—in society, the workplace, and their private lives. It considers factors like perseverance and determination, participation in arts and literature, and social and emotional health.","Measures the development of traits relevant for students leading full and rewarding lives—in society, the workplace, and their private lives.",Work Ethic,5B,"Seeks to determine the degree to which students are willing to work hard on challenging tasks, even in light of setbacks. It includes measures of perseverance & determination and growth mindset.",Growth Mindset,Draws on anonymous student reports about the degree to which they see themselves as capable of expanding their skills and/or intelligence through hard work.,5B-ii,Students,,TRUE,TRUE,How much do you think you can change your own intelligence?,How much do you think you can change your own intelligence?,How much do you think you can change your own intelligence?,How much do you think you can change your own intelligence?,How much do you think you can change your own intelligence?,How much do you think you can change your own intelligence?,Not in the 16-17 Surveys,s-grmi-q1,,,,Q34,,,2.23,2.24,2.74,2.75,3.24,3.25,4.3,4.31,
Community & Wellbeing,5,"Measures the development of traits relevant for students leading full and rewarding lives—in society, the workplace, and their private lives. It considers factors like perseverance and determination, participation in arts and literature, and social and emotional health.","Measures the development of traits relevant for students leading full and rewarding lives—in society, the workplace, and their private lives.",Work Ethic,5B,"Seeks to determine the degree to which students are willing to work hard on challenging tasks, even in light of setbacks. It includes measures of perseverance & determination and growth mindset.",Growth Mindset,Draws on anonymous student reports about the degree to which they see themselves as capable of expanding their skills and/or intelligence through hard work.,5B-ii,Students,,TRUE,TRUE,How much do you think that being bad at math is something someone can change?,How much do you think that being bad at math is something someone can change?,How much do you think that being bad at math is something someone can change?,How much do you think that being bad at math is something someone can change?,How much do you think that being bad at math is something someone can change?,How much do you think that being bad at math is something someone can change?,Not in the 16-17 Surveys,s-grmi-q2,,,X,Q35,,,2.23,2.24,2.74,2.75,3.24,3.25,4.3,4.31,
Community & Wellbeing,5,"Measures the development of traits relevant for students leading full and rewarding lives—in society, the workplace, and their private lives. It considers factors like perseverance and determination, participation in arts and literature, and social and emotional health.","Measures the development of traits relevant for students leading full and rewarding lives—in society, the workplace, and their private lives.",Work Ethic,5B,"Seeks to determine the degree to which students are willing to work hard on challenging tasks, even in light of setbacks. It includes measures of perseverance & determination and growth mindset.",Growth Mindset,Draws on anonymous student reports about the degree to which they see themselves as capable of expanding their skills and/or intelligence through hard work.,5B-ii,Students,,TRUE,TRUE,How much do you think that struggling as a writer is something someone can change?,How much do you think that struggling as a writer is something someone can change?,How much do you think that struggling as a writer is something someone can change?,How much do you think that struggling as a writer is something someone can change?,How much do you think that struggling as a writer is something someone can change?,How much do you think that struggling as a writer is something someone can change?,Not in the 16-17 Surveys,s-grmi-q3,,,,Q127,,,2.23,2.24,2.74,2.75,3.24,3.25,4.3,4.31,
Community & Wellbeing,5,"Measures the development of traits relevant for students leading full and rewarding lives—in society, the workplace, and their private lives. It considers factors like perseverance and determination, participation in arts and literature, and social and emotional health.","Measures the development of traits relevant for students leading full and rewarding lives—in society, the workplace, and their private lives.",Work Ethic,5B,"Seeks to determine the degree to which students are willing to work hard on challenging tasks, even in light of setbacks. It includes measures of perseverance & determination and growth mindset.",Growth Mindset,Draws on anonymous student reports about the degree to which they see themselves as capable of expanding their skills and/or intelligence through hard work.,5B-ii,Students,,TRUE,TRUE,How much do you think that intelligence is something that can be changed?,How much do you think that intelligence is something that can be changed?,How much do you think that intelligence is something that can be changed?,How much do you think that intelligence is something that can be changed?,How much do you think that struggling to understand something means you're bad at it? (NOT USED IN THE SCORE),How much do you think that needing to try really hard in a subject at school means you can‚Äôt be good at it? (NOT USED IN THE SCORE),Not in the 16-17 Surveys,s-grmi-q4,,,,Q36,,,2.23,2.24,2.74,2.75,3.24,3.25,4.3,4.31,
Teachers & Leadership,1,"Measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.,Teachers & The Teaching Environment,1A,"Seeks to determine the degree to which a school's teachers are prepared and supported for their classroom assignments. It includes measures of teacher qualifications, professional community and effective classroom practices.",Effective Practices,"Draws on anonymous student reports about factors like teacher effectiveness, support for students, and classroom management.",1A-ii,Students,,TRUE,TRUE,"Overall, how much have you learned from your teacher?","Overall, how much have you learned from your teacher?","Overall, how much have you learned from your teacher?","Overall, how much have you learned from your teacher?","Overall, how much have you learned from your teacher?","Overall, how much have you learned from your teacher?","Overall, how much have you learned from your teacher?",s-peff-q1,,,,Q10,,,2.48,2.49,2.99,3,3.49,3.5,4.7,4.71,
Teachers & Leadership,1,"Measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.,Teachers & The Teaching Environment,1A,"Seeks to determine the degree to which a school's teachers are prepared and supported for their classroom assignments. It includes measures of teacher qualifications, professional community and effective classroom practices.",Effective Practices,"Draws on anonymous student reports about factors like teacher effectiveness, support for students, and classroom management.",1A-ii,Students,,TRUE,TRUE,"For this class, how clearly does your teacher present the information that you need to learn?","For this class, how clearly does your teacher present the information that you need to learn?","For this class, how clearly does your teacher present the information that you need to learn?","For this class, how clearly does your teacher present the information that you need to learn?","For this class, how clearly does your teacher present the information that you need to learn?","For this class, how clearly does your teacher present the information that you need to learn?","For this class, how clearly does your teacher present the information that you need to learn?",s-peff-q2,,,,Q11,,,2.48,2.49,2.99,3,3.49,3.5,4.7,4.71,
Teachers & Leadership,1,"Measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.,Teachers & The Teaching Environment,1A,"Seeks to determine the degree to which a school's teachers are prepared and supported for their classroom assignments. It includes measures of teacher qualifications, professional community and effective classroom practices.",Effective Practices,"Draws on anonymous student reports about factors like teacher effectiveness, support for students, and classroom management.",1A-ii,Students,,TRUE,TRUE,"When you need extra help, how good is your teacher at giving you that help?","When you need extra help, how good is your teacher at giving you that help?","When you need extra help, how good is your teacher at giving you that help?","When you need extra help, how good is your teacher at giving you that help?","When you need extra help, how good is your teacher at giving you that help?","When you need extra help, how good is your teacher at giving you that help?","When you need extra help, how good is your teacher at giving you that help?",s-peff-q3,,,,Q12,,,2.48,2.49,2.99,3,3.49,3.5,4.7,4.71,
Teachers & Leadership,1,"Measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.,Teachers & The Teaching Environment,1A,"Seeks to determine the degree to which a school's teachers are prepared and supported for their classroom assignments. It includes measures of teacher qualifications, professional community and effective classroom practices.",Effective Practices,"Draws on anonymous student reports about factors like teacher effectiveness, support for students, and classroom management.",1A-ii,Students,,TRUE,TRUE,How well can your teacher tell whether or not you understand a topic?,How well can your teacher tell whether or not you understand a topic?,How well can your teacher tell whether or not you understand a topic?,How well can your teacher tell whether or not you understand a topic?,How well can your teacher tell whether or not you understand a topic?,How well can your teacher tell whether or not you understand a topic?,How well can your teacher tell whether or not you understand a topic?,s-peff-q4,,,,Q14,,,2.48,2.49,2.99,3,3.49,3.5,4.7,4.71,
Teachers & Leadership,1,"Measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.,Teachers & The Teaching Environment,1A,"Seeks to determine the degree to which a school's teachers are prepared and supported for their classroom assignments. It includes measures of teacher qualifications, professional community and effective classroom practices.",Effective Practices,"Draws on anonymous student reports about factors like teacher effectiveness, support for students, and classroom management.",1A-ii,Students,,TRUE,TRUE,How interesting does your teacher make the things you are learning?,How interesting does your teacher make the things you are learning?,How interesting does your teacher make the things you are learning?,How interesting does your teacher make the things you are learning?,How interesting does your teacher make the things you are learning?,How interesting does your teacher make the things you are learning?,How interesting does your teacher make the things you are learning?,s-peff-q5,,,,Q15,,,2.48,2.49,2.99,3,3.49,3.5,4.7,4.71,
Teachers & Leadership,1,"Measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.,Teachers & The Teaching Environment,1A,"Seeks to determine the degree to which a school's teachers are prepared and supported for their classroom assignments. It includes measures of teacher qualifications, professional community and effective classroom practices.",Effective Practices,"Draws on anonymous student reports about factors like teacher effectiveness, support for students, and classroom management.",1A-ii,Students,,TRUE,TRUE,How good is your teacher at helping you learn?,How good is your teacher at helping you learn?,How good is your teacher at helping you learn?,How good is your teacher at helping you learn?,How good is your teacher at helping you learn?,How good is your teacher at helping you learn?,How good is your teacher at helping you learn?,s-peff-q6,,,X,Q16,,,2.48,2.49,2.99,3,3.49,3.5,4.7,4.71,
School Culture,2,"Measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student-teacher relationships, and student valuing of learning.","Measures the degree to which the school environment is safe, caring, and academically-oriented.",Safety,2A,Seeks to determine the degree to which school climate is a safe place for students to learn. It includes measures of student physical safety and student emotional safety. ,Student Physical Safety,Draws on anonymous student reports about the degree to which they feel physically safe at school. It also measures the use of exclusionary discipline at the school.,2A-i,Students,,TRUE,TRUE,How often do you worry about violence at your school?,How often do you worry about violence at your school?,How often do you worry about violence at your school?,How often do you worry about violence at your school?,How often do you worry about violence at your school?,How often do you worry about violence at your school?,How often do you worry about violence at your school?,s-phys-q1,X,,,Q40,,,2.78,2.79,3.29,3.3,3.79,3.8,4.5,4.51,
School Culture,2,"Measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student-teacher relationships, and student valuing of learning.","Measures the degree to which the school environment is safe, caring, and academically-oriented.",Safety,2A,Seeks to determine the degree to which school climate is a safe place for students to learn. It includes measures of student physical safety and student emotional safety. ,Student Physical Safety,Draws on anonymous student reports about the degree to which they feel physically safe at school. It also measures the use of exclusionary discipline at the school.,2A-i,Students,,TRUE,TRUE,How often do students get into physical fights at your school?,How often do students get into physical fights at your school?,How often do students get into physical fights at your school?,How often do students get into physical fights at your school?,How often do students get into physical fights at your school?,How often do students get into physical fights at your school?,How often do students get into physical fights at your school?,s-phys-q2,X,,,Q41,,.,2.78,2.79,3.29,3.3,3.79,3.8,4.5,4.51,
School Culture,2,"Measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student-teacher relationships, and student valuing of learning.","Measures the degree to which the school environment is safe, caring, and academically-oriented.",Safety,2A,Seeks to determine the degree to which school climate is a safe place for students to learn. It includes measures of student physical safety and student emotional safety. ,Student Physical Safety,Draws on anonymous student reports about the degree to which they feel physically safe at school. It also measures the use of exclusionary discipline at the school.,2A-i,Students,,TRUE,TRUE,"Overall, how physically safe do you feel at school?","Overall, how physically safe do you feel at school?","Overall, how physically safe do you feel at school?","Overall, how physically safe do you feel at school?","Overall, how physically safe do you feel at school?","Overall, how safe do you feel at school?","Overall, how safe do you feel at school?",s-phys-q3,,,,Q42,,,2.78,2.79,3.29,3.3,3.79,3.8,4.5,4.51,
