District,School,Category,NonLikert Title,NL_Value,,Z-Score,B_MCIEA,B_Expert,B_ExpertDesc,NL_DataType
Somerville,John F. Kennedy Elementary School,4-A-i,Student Growth Percentile (Math),52,2.6,-0.4,47,50,State average,
Somerville,West Somerville Neighborhood School,4-A-i,Student Growth Percentile (ELA),65,3.3,0.3,49.1,50,State average,
Somerville,West Somerville Neighborhood School,4-A-i,Student Growth Percentile (Math),58.5,2.9,-0.1,47,50,State average,
Somerville,Winter Hill Community Innovation School,4-A-i,Student Growth Percentile (ELA),58,2.9,-0.1,49.1,50,State average,
Somerville,Winter Hill Community Innovation School,4-A-i,Student Growth Percentile (Math),57.5,2.9,-0.1,47,50,State average,
Winchester,Ambrose Elementary School,4-A-i,Student Growth Percentile (ELA),66,3.3,0.3,49.1,50,State average,
Winchester,Ambrose Elementary School,4-A-i,Student Growth Percentile (Math),60,3,0,47,50,State average,
Winchester,Lincoln Elementary School,4-A-i,Student Growth Percentile (ELA),71,3.6,0.6,49.1,50,State average,
Winchester,Lincoln Elementary School,4-A-i,Student Growth Percentile (Math),64.5,3.2,0.2,47,50,State average,
Winchester,Lynch Elementary School,4-A-i,Student Growth Percentile (ELA),55,2.8,-0.2,49.1,50,State average,
Winchester,Lynch Elementary School,4-A-i,Student Growth Percentile (Math),51,2.6,-0.4,47,50,State average,
Winchester,McCall Middle School,4-A-i,Student Growth Percentile (ELA),64,3.2,0.2,49.1,50,State average,
Winchester,McCall Middle School,4-A-i,Student Growth Percentile (Math),70,3.5,0.5,47,50,State average,
Winchester,Muraco Elementary School,4-A-i,Student Growth Percentile (ELA),59,3,0,49.1,50,State average,
Winchester,Muraco Elementary School,4-A-i,Student Growth Percentile (Math),64,3.2,0.2,47,50,State average,
Winchester,Vinson-Owen Elementary School,4-A-i,Student Growth Percentile (ELA),70,3.5,0.5,49.1,50,State average,
Winchester,Vinson-Owen Elementary School,4-A-i,Student Growth Percentile (Math),77,3.9,0.9,47,50,State average,
