District,School,Category,NonLikert Title,NL_Value,Likert_Value,Benchmark,Data Type
Revere,Paul Revere Elementary School,3-A-i,Average class size,22.8,3.5,20,
Revere,Paul Revere Elementary School,3-A-i,Student to technology ratio,1,,3,
Revere,Paul Revere Elementary School,3-A-ii,Student to art teacher ratio,236,5,500,
Revere,Paul Revere Elementary School,3-A-ii,Student to counselor ratio,472,0.46875,250,
Revere,Paul Revere Elementary School,3-A-ii,Student to instructional support staff ratio,47.2,,,
Revere,Paul Revere Elementary School,5-C-i,Hours of arts instruction per student per week,3.3,6.6,2,hours
Revere,Paul Revere Elementary School,5-D-ii,Medical staff to student ratio,472,,750,
Somerville,Somerville High School,1-A-i,Percentage teachers teaching in area of licensure,98,4.1,95,%
Somerville,Somerville High School,1-A-i,Percentage teachers with 5+ years of experience,63.9,3.2,80,%
Somerville,Somerville High School,1-A-i,Percentage teachers National Board certified,,,,%
Somerville,Somerville High School,1-B-i,Percent teacher returning (excluding retirement),81.7,3.8,85,%
Somerville,Somerville High School,1-B-ii,Professional development spending per teacher,3190,,,$
Somerville,Somerville High School,2-A-i,Student to violent incidents ratio,0,4,0.02,
Somerville,Somerville High School,2-C-i,Average daily attendance,92.3,4.1,90,%
Somerville,Somerville High School,2-C-i,Chronic absence rate,25.3,0,10,%
Somerville,Somerville High School,3-A-i,Average class size,14.5,5,20,
Somerville,Somerville High School,3-A-i,Student to technology ratio,1.5,2,3,
Somerville,Somerville High School,3-A-ii,Student to art teacher ratio,303.8,5,500,
Somerville,Somerville High School,3-A-ii,Student to counselor ratio,121.5,5,250,
Somerville,Somerville High School,3-A-ii,Student to instructional support staff ratio,151.9,,,
Somerville,Somerville High School,3-B-i,Student to number of electives ratio (HS only),19.9,,,
Somerville,Somerville High School,3-B-i,Percent graduates completing MassCORE (HS only),56.7,2.5,90,%
Somerville,Somerville High School,3-B-i,Percent juniors and seniors enrolled in one AP (HS only),44,5.9,30,%
Somerville,Somerville High School,3-B-i,Percent AP test takers scoring 3 or higher (HS only),60,12,20,%
Somerville,Somerville High School,3-B-iII,Student to co-curricular activities ratio (HS only),14.6,,,
Somerville,Somerville High School,4-B-ii,4-year on-time graduation rate (HS only),87.9,4.4,80,%
Somerville,Somerville High School,4-B-ii,5-year graduation rate (HS only),88.9,4.2,85,%
Somerville,Somerville High School,4-D-i,College enrollment rate (HS only),57,,,%
Somerville,Somerville High School,4-D-ii,Percent positive work placement (HS only),98,,,%
Somerville,Somerville High School,4-D-ii,Student to career-technical education courses (HS only),13.8,,,
Somerville,Somerville High School,5-C-i,Hours of arts instruction per student per week,Varies,,2,hours
Somerville,Somerville High School,5-D-ii,Medical staff to student ratio,607.5,4.765625,750,
Somerville,Full Circle Next Wave,1-A-i,Percentage teachers teaching in area of licensure,100,4.2,95,%
Somerville,Full Circle Next Wave,1-A-i,Percentage teachers with 5+ years of experience,70,3.5,80,%
Somerville,Full Circle Next Wave,1-A-i,Percentage teachers National Board certified,NA,,,%
Somerville,Full Circle Next Wave,1-B-i,Percent teacher returning (excluding retirement),72,3.4,85,%
Somerville,Full Circle Next Wave,1-B-ii,Professional development spending per teacher,3190,,,$
Somerville,Full Circle Next Wave,2-A-i,Student to violent incidents ratio,3.4,,0.02,
Somerville,Full Circle Next Wave,2-C-i,Average daily attendance,71,3.2,90,%
Somerville,Full Circle Next Wave,2-C-i,Chronic absence rate,78,0,10,%
Somerville,Full Circle Next Wave,3-A-i,Average class size,5,5,20,
Somerville,Full Circle Next Wave,3-A-i,Student to technology ratio,0.7,0.9,3,
Somerville,Full Circle Next Wave,3-A-ii,Student to art teacher ratio,134,5,500,
Somerville,Full Circle Next Wave,3-A-ii,Student to counselor ratio,22.3,5,250,
Somerville,Full Circle Next Wave,3-A-ii,Student to instructional support staff ratio,67,,,
Somerville,Full Circle Next Wave,3-B-i,Student to number of electives ratio (HS only),1.2,,,
Somerville,Full Circle Next Wave,3-B-i,Percent graduates completing MassCORE (HS only),0,0,90,%
Somerville,Full Circle Next Wave,3-B-i,Percent juniors and seniors enrolled in one AP (HS only),0,0,30,%
Somerville,Full Circle Next Wave,3-B-i,Percent AP test takers scoring 3 or higher (HS only),0,0,20,%
Somerville,Full Circle Next Wave,3-B-iII,Student to co-curricular activities ratio (HS only),0,,,
Somerville,Full Circle Next Wave,4-B-ii,4-year on-time graduation rate (HS only),33,1.7,80,%
Somerville,Full Circle Next Wave,4-B-ii,5-year graduation rate (HS only),33,1.6,85,%
Somerville,Full Circle Next Wave,4-D-i,College enrollment rate (HS only),13,,,%
Somerville,Full Circle Next Wave,4-D-ii,Percent positive work placement (HS only),NA,,,%
Somerville,Full Circle Next Wave,4-D-ii,Student to career-technical education courses (HS only),NA,,,
Somerville,Full Circle Next Wave,5-C-i,Hours of arts instruction per student per week,1,2,2,hours
Somerville,Full Circle Next Wave,5-D-ii,Medical staff to student ratio,67,,750,
Somerville,Dr. Albert F. Argenziano School at Lincoln Park,1-A-i,Percentage teachers teaching in area of licensure,100,4.2,95,%
Somerville,Dr. Albert F. Argenziano School at Lincoln Park,1-A-i,Percentage teachers with 5+ years of experience,72.5,3.6,80,%
Somerville,Dr. Albert F. Argenziano School at Lincoln Park,1-A-i,Percentage teachers National Board certified,NA,,,%
Somerville,Dr. Albert F. Argenziano School at Lincoln Park,1-B-i,Percent teacher returning (excluding retirement),80,3.8,85,%
Somerville,Dr. Albert F. Argenziano School at Lincoln Park,1-B-ii,Professional development spending per teacher,3190,,,$
Somerville,Dr. Albert F. Argenziano School at Lincoln Park,2-A-i,Student to violent incidents ratio,0.2,3.4,0.02,
Somerville,Dr. Albert F. Argenziano School at Lincoln Park,2-C-i,Average daily attendance,95.7,4.3,90,%
Somerville,Dr. Albert F. Argenziano School at Lincoln Park,2-C-i,Chronic absence rate,11.5,3.40625,10,%
Somerville,Dr. Albert F. Argenziano School at Lincoln Park,3-A-i,Average class size,19.2,4.2,20,
Somerville,Dr. Albert F. Argenziano School at Lincoln Park,3-A-i,Student to technology ratio,1.5,2,3,
Somerville,Dr. Albert F. Argenziano School at Lincoln Park,3-A-ii,Student to art teacher ratio,486.7,4.140625,500,
Somerville,Dr. Albert F. Argenziano School at Lincoln Park,3-A-ii,Student to counselor ratio,292,3.34375,250,
Somerville,Dr. Albert F. Argenziano School at Lincoln Park,3-A-ii,Student to instructional support staff ratio,36.5,,,
Somerville,Dr. Albert F. Argenziano School at Lincoln Park,5-C-i,Hours of arts instruction per student per week,0.8,1.6,2,hours
Somerville,Dr. Albert F. Argenziano School at Lincoln Park,5-D-ii,Medical staff to student ratio,292,,750,
Somerville,Arthur D. Healey School,1-A-i,Percentage teachers teaching in area of licensure,97,4.1,95,%
Somerville,Arthur D. Healey School,1-A-i,Percentage teachers with 5+ years of experience,45.9,2.3,80,%
Somerville,Arthur D. Healey School,1-A-i,Percentage teachers National Board certified,NA,,,%
Somerville,Arthur D. Healey School,1-B-i,Percent teacher returning (excluding retirement),83.3,3.9,85,%
Somerville,Arthur D. Healey School,1-B-ii,Professional development spending per teacher,3190,,,$
Somerville,Arthur D. Healey School,2-A-i,Student to violent incidents ratio,0.1,3.7,0.02,
Somerville,Arthur D. Healey School,2-C-i,Average daily attendance,95,4.2,90,%
Somerville,Arthur D. Healey School,2-C-i,Chronic absence rate,12.3,3.09375,10,%
Somerville,Arthur D. Healey School,3-A-i,Average class size,15.1,5,20,
Somerville,Arthur D. Healey School,3-A-i,Student to technology ratio,1.9,2.5,3,
Somerville,Arthur D. Healey School,3-A-ii,Student to art teacher ratio,451,4.4921875,500,
Somerville,Arthur D. Healey School,3-A-ii,Student to counselor ratio,90.2,5,250,
Somerville,Arthur D. Healey School,3-A-ii,Student to instructional support staff ratio,90.2,,,
Somerville,Arthur D. Healey School,5-C-i,Hours of arts instruction per student per week,0.8,1.6,2,hours
Somerville,Arthur D. Healey School,5-D-ii,Medical staff to student ratio,451,,750,
Somerville,John F. Kennedy Elementary School,1-A-i,Percentage teachers teaching in area of licensure,100,4.2,95,%
Somerville,John F. Kennedy Elementary School,1-A-i,Percentage teachers with 5+ years of experience,59.4,3,80,%
Somerville,John F. Kennedy Elementary School,1-A-i,Percentage teachers National Board certified,NA,,,%
Somerville,John F. Kennedy Elementary School,1-B-i,Percent teacher returning (excluding retirement),80.5,3.8,85,%
Somerville,John F. Kennedy Elementary School,1-B-ii,Professional development spending per teacher,3190,,,$
Somerville,John F. Kennedy Elementary School,2-A-i,Student to violent incidents ratio,0.1,3.5,0.02,
Somerville,John F. Kennedy Elementary School,2-C-i,Average daily attendance,95,4.2,90,%
Somerville,John F. Kennedy Elementary School,2-C-i,Chronic absence rate,8.2,4.75,10,%
Somerville,John F. Kennedy Elementary School,3-A-i,Average class size,18.4,4.4,20,
Somerville,John F. Kennedy Elementary School,3-A-i,Student to technology ratio,1.5,1.9,3,
Somerville,John F. Kennedy Elementary School,3-A-ii,Student to art teacher ratio,,,500,
Somerville,John F. Kennedy Elementary School,3-A-ii,Student to counselor ratio,,,250,
Somerville,John F. Kennedy Elementary School,3-A-ii,Student to instructional support staff ratio,,,,
Somerville,John F. Kennedy Elementary School,5-C-i,Hours of arts instruction per student per week,,,2,hours
Somerville,John F. Kennedy Elementary School,5-D-ii,Medical staff to student ratio,228,,750,
Somerville,West Somerville Neighborhood School,1-A-i,Percentage teachers teaching in area of licensure,100,4.2,95,%
Somerville,West Somerville Neighborhood School,1-A-i,Percentage teachers with 5+ years of experience,69.6,3.48,80,%
Somerville,West Somerville Neighborhood School,1-A-i,Percentage teachers National Board certified,NA,,,%
Somerville,West Somerville Neighborhood School,1-B-i,Percent teacher returning (excluding retirement),83.3,3.92,85,%
Somerville,West Somerville Neighborhood School,1-B-ii,Professional development spending per teacher,3190,,,$
Somerville,West Somerville Neighborhood School,2-A-i,Student to violent incidents ratio,0.5,2.1,0.02,
Somerville,West Somerville Neighborhood School,2-C-i,Average daily attendance,94.6,4.2,90,%
Somerville,West Somerville Neighborhood School,2-C-i,Chronic absence rate,13.8,2.5,10,%
Somerville,West Somerville Neighborhood School,3-A-i,Average class size,20.2,4,20,
Somerville,West Somerville Neighborhood School,3-A-i,Student to technology ratio,1.5,2,3,
Somerville,West Somerville Neighborhood School,3-A-ii,Student to art teacher ratio,494.7,4.0546875,500,
Somerville,West Somerville Neighborhood School,3-A-ii,Student to counselor ratio,92.8,5,250,
Somerville,West Somerville Neighborhood School,3-A-ii,Student to instructional support staff ratio,61.8,,,
Somerville,West Somerville Neighborhood School,5-C-i,Hours of arts instruction per student per week,0.8,1.6,2,hours
Somerville,West Somerville Neighborhood School,5-D-ii,Medical staff to student ratio,371,,750,
Somerville,Winter Hill Community Innovation School,1-A-i,Percentage teachers teaching in area of licensure,98,4.1,95,%
Somerville,Winter Hill Community Innovation School,1-A-i,Percentage teachers with 5+ years of experience,71.4,3.6,80,%
Somerville,Winter Hill Community Innovation School,1-A-i,Percentage teachers National Board certified,NA,,,%
Somerville,Winter Hill Community Innovation School,1-B-i,Percent teacher returning (excluding retirement),90.7,4.3,85,%
Somerville,Winter Hill Community Innovation School,1-B-ii,Professional development spending per teacher,3190,,,$
Somerville,Winter Hill Community Innovation School,2-A-i,Student to violent incidents ratio,0.1,3.7,0.02,
Somerville,Winter Hill Community Innovation School,2-C-i,Average daily attendance,95.1,4.2,90,%
Somerville,Winter Hill Community Innovation School,2-C-i,Chronic absence rate,11.8,3.28125,10,%
Somerville,Winter Hill Community Innovation School,3-A-i,Average class size,18.8,4.3,20,
Somerville,Winter Hill Community Innovation School,3-A-i,Student to technology ratio,1.4,1.8,3,
Somerville,Winter Hill Community Innovation School,3-A-ii,Student to art teacher ratio,459,4.4140625,500,
Somerville,Winter Hill Community Innovation School,3-A-ii,Student to counselor ratio,229.5,4.34375,250,
Somerville,Winter Hill Community Innovation School,3-A-ii,Student to instructional support staff ratio,21.9,,,
Somerville,Winter Hill Community Innovation School,5-C-i,Hours of arts instruction per student per week,0.8,1.6,2,hours
Somerville,Winter Hill Community Innovation School,5-D-ii,Medical staff to student ratio,229.5,,750,
Somerville,East Somerville Community School,1-A-i,Percentage teachers teaching in area of licensure,98,4.1,95,%
Somerville,East Somerville Community School,1-A-i,Percentage teachers with 5+ years of experience,51,2.6,80,%
Somerville,East Somerville Community School,1-A-i,Percentage teachers National Board certified,NA,,,%
Somerville,East Somerville Community School,1-B-i,Percent teacher returning (excluding retirement),73,3.4,85,%
Somerville,East Somerville Community School,1-B-ii,Professional development spending per teacher,3190,,,$
Somerville,East Somerville Community School,2-A-i,Student to violent incidents ratio,0,4,0.02,
Somerville,East Somerville Community School,2-C-i,Average daily attendance,96.1,4.3,90,%
Somerville,East Somerville Community School,2-C-i,Chronic absence rate,8,4.8125,10,%
Somerville,East Somerville Community School,3-A-i,Average class size,19.8,4.1,20,
Somerville,East Somerville Community School,3-A-i,Student to technology ratio,1.5,1.9,3,
Somerville,East Somerville Community School,3-A-ii,Student to art teacher ratio,480,4.203125,500,
Somerville,East Somerville Community School,3-A-ii,Student to counselor ratio,130.9,5,250,
Somerville,East Somerville Community School,3-A-ii,Student to instructional support staff ratio,48,,,
Somerville,East Somerville Community School,5-C-i,Hours of arts instruction per student per week,0.8,1.6,2,hours
Somerville,East Somerville Community School,5-D-ii,Medical staff to student ratio,720,4.171875,750,
Somerville,Benjamin G. Brown School,1-A-i,Percentage teachers teaching in area of licensure,100,4.2,95,%
Somerville,Benjamin G. Brown School,1-A-i,Percentage teachers with 5+ years of experience,72,3.6,80,%
Somerville,Benjamin G. Brown School,1-A-i,Percentage teachers National Board certified,NA,,,%
Somerville,Benjamin G. Brown School,1-B-i,Percent teacher returning (excluding retirement),85,4,85,%
Somerville,Benjamin G. Brown School,1-B-ii,Professional development spending per teacher,3190,,,$
Somerville,Benjamin G. Brown School,2-A-i,Student to violent incidents ratio,0,4.1,0.02,
Somerville,Benjamin G. Brown School,2-C-i,Average daily attendance,95.5,4.2,90,%
Somerville,Benjamin G. Brown School,2-C-i,Chronic absence rate,6.7,5,10,%
Somerville,Benjamin G. Brown School,3-A-i,Average class size,19.3,4.2,20,
Somerville,Benjamin G. Brown School,3-A-i,Student to technology ratio,1.8,2.4,3,
Somerville,Benjamin G. Brown School,3-A-ii,Student to art teacher ratio,462,4.3828125,500,
Somerville,Benjamin G. Brown School,3-A-ii,Student to counselor ratio,231,4.3125,250,
Somerville,Benjamin G. Brown School,3-A-ii,Student to instructional support staff ratio,115.5,,,
Somerville,Benjamin G. Brown School,5-C-i,Hours of arts instruction per student per week,0.8,1.6,2,hours
Somerville,Benjamin G. Brown School,5-D-ii,Medical staff to student ratio,231,,750,
Somerville,Michael E. Capuano Early Childhood Center,1-A-i,Percentage teachers teaching in area of licensure,95,4,95,%
Somerville,Michael E. Capuano Early Childhood Center,1-A-i,Percentage teachers with 5+ years of experience,82.6,4.1,80,%
Somerville,Michael E. Capuano Early Childhood Center,1-A-i,Percentage teachers National Board certified,NA,,,%
Somerville,Michael E. Capuano Early Childhood Center,1-B-i,Percent teacher returning (excluding retirement),70,3.3,85,%
Somerville,Michael E. Capuano Early Childhood Center,1-B-ii,Professional development spending per teacher,3190,,,$
Somerville,Michael E. Capuano Early Childhood Center,2-A-i,Student to violent incidents ratio,0,4.1,0.02,
Somerville,Michael E. Capuano Early Childhood Center,2-C-i,Average daily attendance,92.3,4.1,90,%
Somerville,Michael E. Capuano Early Childhood Center,2-C-i,Chronic absence rate,24.7,0,10,%
Somerville,Michael E. Capuano Early Childhood Center,3-A-i,Average class size,13.6,5,20,
Somerville,Michael E. Capuano Early Childhood Center,3-A-i,Student to technology ratio,3,4,3,
Somerville,Michael E. Capuano Early Childhood Center,3-A-ii,Student to art teacher ratio,628,2.7265625,500,
Somerville,Michael E. Capuano Early Childhood Center,3-A-ii,Student to counselor ratio,196.3,4.875,250,
Somerville,Michael E. Capuano Early Childhood Center,3-A-ii,Student to instructional support staff ratio,8.3,,,
Somerville,Michael E. Capuano Early Childhood Center,5-C-i,Hours of arts instruction per student per week,0.8,1.6,2,hours
Somerville,Michael E. Capuano Early Childhood Center,5-D-ii,Medical staff to student ratio,314,,750,
Winchester,Winchester High School,1-A-i,Percentage teachers teaching in area of licensure,100,4.2,95,%
Winchester,Winchester High School,1-A-i,Percentage teachers with 5+ years of experience,,0,80,%
Winchester,Winchester High School,1-A-i,Percentage teachers National Board certified,,,,%
Winchester,Winchester High School,1-B-i,Percent teacher returning (excluding retirement),,0,85,%
Winchester,Winchester High School,1-B-ii,Professional development spending per teacher,146,,,
Winchester,Winchester High School,2-A-i,Student to violent incidents ratio,0,4.1,0.02,
Winchester,Winchester High School,2-C-i,Average daily attendance,95.4,4.2,90,%
Winchester,Winchester High School,2-C-i,Chronic absence rate,9.7,4.125,10,%
Winchester,Winchester High School,3-A-i,Average class size,16.2,4.8,20,
Winchester,Winchester High School,3-A-i,Student to technology ratio,1,1.3,3,
Winchester,Winchester High School,3-A-ii,Student to art teacher ratio,344,5,500,
Winchester,Winchester High School,3-A-ii,Student to counselor ratio,153,5,250,
Winchester,Winchester High School,3-A-ii,Student to instructional support staff ratio,,,,
Winchester,Winchester High School,3-B-i,Student to number of electives ratio (HS only),,,,
Winchester,Winchester High School,3-B-i,Percent graduates completing MassCORE (HS only),89,4,90,%
Winchester,Winchester High School,3-B-i,Percent juniors and seniors enrolled in one AP (HS only),,,30,%
Winchester,Winchester High School,3-B-i,Percent AP test takers scoring 3 or higher (HS only),,,20,%
Winchester,Winchester High School,3-B-iII,Student to co-curricular activities ratio (HS only),,,,
Winchester,Winchester High School,4-B-ii,4-year on-time graduation rate (HS only),99.3,5,80,%
Winchester,Winchester High School,4-B-ii,5-year graduation rate (HS only),98,4.6,85,%
Winchester,Winchester High School,4-D-i,College enrollment rate (HS only),89.1,,,%
Winchester,Winchester High School,4-D-ii,Percent positive work placement (HS only),10,,,%
Winchester,Winchester High School,4-D-ii,Student to career-technical education courses (HS only),,,,
Winchester,Winchester High School,5-C-i,Hours of arts instruction per student per week,,,2,hours
Winchester,Winchester High School,5-D-ii,Medical staff to student ratio,688,4.34375,750,
Winchester,McCall Middle School,1-A-i,Percentage teachers teaching in area of licensure,100,4.2,95,%
Winchester,McCall Middle School,1-A-i,Percentage teachers with 5+ years of experience,,,80,%
Winchester,McCall Middle School,1-A-i,Percentage teachers National Board certified,,,,%
Winchester,McCall Middle School,1-B-i,Percent teacher returning (excluding retirement),92.6,4.4,85,%
Winchester,McCall Middle School,1-B-ii,Professional development spending per teacher,146,,,$
Winchester,McCall Middle School,2-A-i,Student to violent incidents ratio,0,4.1,0.02,
Winchester,McCall Middle School,2-C-i,Average daily attendance,96.7,4.3,90,%
Winchester,McCall Middle School,2-C-i,Chronic absence rate,3.4,5,10,%
Winchester,McCall Middle School,3-A-i,Average class size,23,3.4,20,
Winchester,McCall Middle School,3-A-i,Student to technology ratio,1,1.3,3,
Winchester,McCall Middle School,3-A-ii,Student to art teacher ratio,370,5,500,
Winchester,McCall Middle School,3-A-ii,Student to counselor ratio,139,5,250,
Winchester,McCall Middle School,3-A-ii,Student to instructional support staff ratio,,,,
Winchester,McCall Middle School,5-C-i,Hours of arts instruction per student per week,varies,,2,hours
Winchester,McCall Middle School,5-D-ii,Medical staff to student ratio,555,,750,
Winchester,Ambrose Elementary School,1-A-i,Percentage teachers teaching in area of licensure,100,4.2,95,%
Winchester,Ambrose Elementary School,1-A-i,Percentage teachers with 5+ years of experience,,,80,%
Winchester,Ambrose Elementary School,1-A-i,Percentage teachers National Board certified,0,,,%
Winchester,Ambrose Elementary School,1-B-i,Percent teacher returning (excluding retirement),97,4.6,85,%
Winchester,Ambrose Elementary School,1-B-ii,Professional development spending per teacher,146,,,$
Winchester,Ambrose Elementary School,2-A-i,Student to violent incidents ratio,0,4.1,0.02,
Winchester,Ambrose Elementary School,2-C-i,Average daily attendance,96.5,4.3,90,%
Winchester,Ambrose Elementary School,2-C-i,Chronic absence rate,1.6,5,10,%
Winchester,Ambrose Elementary School,3-A-i,Average class size,19.5,4.1,20,
Winchester,Ambrose Elementary School,3-A-i,Student to technology ratio,0,0,3,
Winchester,Ambrose Elementary School,3-A-ii,Student to art teacher ratio,421,4.796875,500,
Winchester,Ambrose Elementary School,3-A-ii,Student to counselor ratio,210,4.65625,250,
Winchester,Ambrose Elementary School,3-A-ii,Student to instructional support staff ratio,0,,,
Winchester,Ambrose Elementary School,5-C-i,Hours of arts instruction per student per week,0.9,1.8,2,hours
Winchester,Ambrose Elementary School,5-D-ii,Medical staff to student ratio,421,,750,
Winchester,Lincoln Elementary School,1-A-i,Percentage teachers teaching in area of licensure,100,4.2,95,%
Winchester,Lincoln Elementary School,1-A-i,Percentage teachers with 5+ years of experience,,,80,%
Winchester,Lincoln Elementary School,1-A-i,Percentage teachers National Board certified,0,,,%
Winchester,Lincoln Elementary School,1-B-i,Percent teacher returning (excluding retirement),,,85,%
Winchester,Lincoln Elementary School,1-B-ii,Professional development spending per teacher,146,,,$
Winchester,Lincoln Elementary School,2-A-i,Student to violent incidents ratio,0,4.1,0.02,
Winchester,Lincoln Elementary School,2-C-i,Average daily attendance,96.3,4.3,90,%
Winchester,Lincoln Elementary School,2-C-i,Chronic absence rate,2.9,5,10,%
Winchester,Lincoln Elementary School,3-A-i,Average class size,18.8,4.3,20,
Winchester,Lincoln Elementary School,3-A-i,Student to technology ratio,,,3,
Winchester,Lincoln Elementary School,3-A-ii,Student to art teacher ratio,403,4.9765625,500,
Winchester,Lincoln Elementary School,3-A-ii,Student to counselor ratio,,,250,
Winchester,Lincoln Elementary School,3-A-ii,Student to instructional support staff ratio,,,,
Winchester,Lincoln Elementary School,5-C-i,Hours of arts instruction per student per week,0.9,1.8,2,hours
Winchester,Lincoln Elementary School,5-D-ii,Medical staff to student ratio,403,,750,
Winchester,Lynch Elementary School,1-A-i,Percentage teachers teaching in area of licensure,100,4.2,95,%
Winchester,Lynch Elementary School,1-A-i,Percentage teachers with 5+ years of experience,,,80,%
Winchester,Lynch Elementary School,1-A-i,Percentage teachers National Board certified,,,,%
Winchester,Lynch Elementary School,1-B-i,Percent teacher returning (excluding retirement),,,85,%
Winchester,Lynch Elementary School,1-B-ii,Professional development spending per teacher,,,,$
Winchester,Lynch Elementary School,2-A-i,Student to violent incidents ratio,0,4.1,0.02,
Winchester,Lynch Elementary School,2-C-i,Average daily attendance,96.4,4.3,90,%
Winchester,Lynch Elementary School,2-C-i,Chronic absence rate,4.4,5,10,%
Winchester,Lynch Elementary School,3-A-i,Average class size,18.6,4.3,20,
Winchester,Lynch Elementary School,3-A-i,Student to technology ratio,0,,3,
Winchester,Lynch Elementary School,3-A-ii,Student to art teacher ratio,480,4.203125,500,
Winchester,Lynch Elementary School,3-A-ii,Student to counselor ratio,0,0,250,
Winchester,Lynch Elementary School,3-A-ii,Student to instructional support staff ratio,0,,,
Winchester,Lynch Elementary School,5-C-i,Hours of arts instruction per student per week,0.9,1.8,2,hours
Winchester,Lynch Elementary School,5-D-ii,Medical staff to student ratio,480,,750,
Winchester,Muraco Elementary School,1-A-i,Percentage teachers teaching in area of licensure,100,4.2,95,%
Winchester,Muraco Elementary School,1-A-i,Percentage teachers with 5+ years of experience,,,80,%
Winchester,Muraco Elementary School,1-A-i,Percentage teachers National Board certified,,,,%
Winchester,Muraco Elementary School,1-B-i,Percent teacher returning (excluding retirement),,,85,%
Winchester,Muraco Elementary School,1-B-ii,Professional development spending per teacher,146,,,$
Winchester,Muraco Elementary School,2-A-i,Student to violent incidents ratio,0,4.1,0.02,
Winchester,Muraco Elementary School,2-C-i,Average daily attendance,96,4.3,90,%
Winchester,Muraco Elementary School,2-C-i,Chronic absence rate,5.1,5,10,%
Winchester,Muraco Elementary School,3-A-i,Average class size,19.4,4.2,20,
Winchester,Muraco Elementary School,3-A-i,Student to technology ratio,,,3,
Winchester,Muraco Elementary School,3-A-ii,Student to art teacher ratio,381,5,500,
Winchester,Muraco Elementary School,3-A-ii,Student to counselor ratio,0,0,250,
Winchester,Muraco Elementary School,3-A-ii,Student to instructional support staff ratio,0,,,
Winchester,Muraco Elementary School,5-C-i,Hours of arts instruction per student per week,0.9,1.8,2,hours
Winchester,Muraco Elementary School,5-D-ii,Medical staff to student ratio,381,,750,
Winchester,Vinson-Owen Elementary School,1-A-i,Percentage teachers teaching in area of licensure,100,4.2,95,%
Winchester,Vinson-Owen Elementary School,1-A-i,Percentage teachers with 5+ years of experience,,,80,%
Winchester,Vinson-Owen Elementary School,1-A-i,Percentage teachers National Board certified,,,,%
Winchester,Vinson-Owen Elementary School,1-B-i,Percent teacher returning (excluding retirement),,,85,%
Winchester,Vinson-Owen Elementary School,1-B-ii,Professional development spending per teacher,146,,,$
Winchester,Vinson-Owen Elementary School,2-A-i,Student to violent incidents ratio,0,4.1,0.02,
Winchester,Vinson-Owen Elementary School,2-C-i,Average daily attendance,96.4,4.3,90,%
Winchester,Vinson-Owen Elementary School,2-C-i,Chronic absence rate,3.3,5,10,%
Winchester,Vinson-Owen Elementary School,3-A-i,Average class size,20.5,3.9,20,
Winchester,Vinson-Owen Elementary School,3-A-i,Student to technology ratio,,,3,
Winchester,Vinson-Owen Elementary School,3-A-ii,Student to art teacher ratio,455,4.453125,500,
Winchester,Vinson-Owen Elementary School,3-A-ii,Student to counselor ratio,0,0,250,
Winchester,Vinson-Owen Elementary School,3-A-ii,Student to instructional support staff ratio,,,,
Winchester,Vinson-Owen Elementary School,5-C-i,Hours of arts instruction per student per week,0.9,1.8,2,hours
Winchester,Vinson-Owen Elementary School,5-D-ii,Medical staff to student ratio,455,,750,
