Category,Category Description,Subcategory,Subcategory Description,Measures,Measure Id,Measure Description,Source,Question/item,Revised Question (for the 19-20 surveys),Survey Item ID,Watch Low,Growth Low,Approval Low,Ideal Low
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Relationships,This subcategory seeks to determine how welcoming and caring the school environment is. It includes measures of student sense of belonging and of student/teacher relationships.,Student-Teacher Relationships,2B-ii,"This measure draws on anonymous student reports about the degree to which they feel respected and cared for by their teachers.",Students,How interested in your teacher in what you do outside of class?,,s-tint-q2,2.24,2.75,3.25,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Relationships,This subcategory seeks to determine how welcoming and caring the school environment is. It includes measures of student sense of belonging and of student/teacher relationships.,Student-Teacher Relationships,2B-ii,"This measure draws on anonymous student reports about the degree to which they feel respected and cared for by their teachers.",Students,"If you walked into class upset, how concerned would your teacher be?",,s-tint-q3,2.24,2.75,3.25,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Relationships,This subcategory seeks to determine how welcoming and caring the school environment is. It includes measures of student sense of belonging and of student/teacher relationships.,Student-Teacher Relationships,2B-ii,"This measure draws on anonymous student reports about the degree to which they feel respected and cared for by their teachers.",Students,"If you came back to visit class three years from now, how excited would your teacher be to see you?",,s-tint-q4,2.24,2.75,3.25,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Relationships,This subcategory seeks to determine how welcoming and caring the school environment is. It includes measures of student sense of belonging and of student/teacher relationships.,Student-Teacher Relationships,2B-ii,"This measure draws on anonymous student reports about the degree to which they feel respected and cared for by their teachers.",Students,"If you had something on your mind, how carefully would your teacher listen to you?",,s-tint-q5,2.24,2.75,3.25,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Academic Orientation,"This subcategory seeks to determine the degree to which a school encourages students to focus on meeting academic challenges. It includes measures of student attendance and graduation, as well as of academic emphasis.",Valuing of Learning,2C-i,"This measure includes attendance rates and also draws on anonymous student reports about how important school is to them and how much they view themselves as learners.",Students,"Overall, how important is school to you?",,s-vale-q1,2.69,3.2,3.7,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Academic Orientation,"This subcategory seeks to determine the degree to which a school encourages students to focus on meeting academic challenges. It includes measures of student attendance and graduation, as well as of academic emphasis.",Valuing of Learning,2C-i,"This measure includes attendance rates and also draws on anonymous student reports about how important school is to them and how much they view themselves as learners.",Students,How curious are you to learn more about things you talked about in school?,,s-vale-q2,2.69,3.2,3.7,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Academic Orientation,"This subcategory seeks to determine the degree to which a school encourages students to focus on meeting academic challenges. It includes measures of student attendance and graduation, as well as of academic emphasis.",Valuing of Learning,2C-i,"This measure includes attendance rates and also draws on anonymous student reports about how important school is to them and how much they view themselves as learners.",Students,How much do you enjoy learning in school?,,s-vale-q3,2.69,3.2,3.7,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Academic Orientation,"This subcategory seeks to determine the degree to which a school encourages students to focus on meeting academic challenges. It includes measures of student attendance and graduation, as well as of academic emphasis.",Valuing of Learning,2C-i,"This measure includes attendance rates and also draws on anonymous student reports about how important school is to them and how much they view themselves as learners.",Students,How much do you see yourself as a learner?,,s-vale-q4,2.69,3.2,3.7,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Academic Orientation,"This subcategory seeks to determine the degree to which a school encourages students to focus on meeting academic challenges. It includes measures of student attendance and graduation, as well as of academic emphasis.",Valuing of Learning,2C-i,"This measure includes attendance rates and also draws on anonymous student reports about how important school is to them and how much they view themselves as learners.",Admin Data,Chronic absence rate,,,2.69,3.2,3.7,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Academic Orientation,"This subcategory seeks to determine the degree to which a school encourages students to focus on meeting academic challenges. It includes measures of student attendance and graduation, as well as of academic emphasis.",Valuing of Learning,2C-i,"This measure includes attendance rates and also draws on anonymous student reports about how important school is to them and how much they view themselves as learners.",Admin Data,Average daily attendance,,,2.69,3.2,3.7,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Academic Orientation,"This subcategory seeks to determine the degree to which a school encourages students to focus on meeting academic challenges. It includes measures of student attendance and graduation, as well as of academic emphasis.",Academic Challenge,2C-ii,"This measure draws on anonymous student reports about the degree to which teachers push them to do their best, work hard, and understand the material.",Students,How often does your teacher ask you to explain your answers?,,s-acpr-q3,2.69,3.2,3.7,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Academic Orientation,"This subcategory seeks to determine the degree to which a school encourages students to focus on meeting academic challenges. It includes measures of student attendance and graduation, as well as of academic emphasis.",Academic Challenge,2C-ii,"This measure draws on anonymous student reports about the degree to which teachers push them to do their best, work hard, and understand the material.",Students,How much does your teacher encourage you to do your best?,,s-acpr-q1,2.69,3.2,3.7,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Academic Orientation,"This subcategory seeks to determine the degree to which a school encourages students to focus on meeting academic challenges. It includes measures of student attendance and graduation, as well as of academic emphasis.",Academic Challenge,2C-ii,"This measure draws on anonymous student reports about the degree to which teachers push them to do their best, work hard, and understand the material.",Students,"When you feel like giving up on a difficult task, how likely is it that your teacher will help you keep trying?",,s-acpr-q2,2.69,3.2,3.7,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Academic Orientation,"This subcategory seeks to determine the degree to which a school encourages students to focus on meeting academic challenges. It includes measures of student attendance and graduation, as well as of academic emphasis.",Academic Challenge,2C-ii,"This measure draws on anonymous student reports about the degree to which teachers push them to do their best, work hard, and understand the material.",Teachers,How effectively does your school challenge students who are struggling academically,,t-acch-q2,2.69,3.2,3.7,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Academic Orientation,"This subcategory seeks to determine the degree to which a school encourages students to focus on meeting academic challenges. It includes measures of student attendance and graduation, as well as of academic emphasis.",Academic Challenge,2C-ii,"This measure draws on anonymous student reports about the degree to which teachers push them to do their best, work hard, and understand the material.",Teachers,How effectively does your school challenge students who are thriving academically?,,t-acch-q3,2.69,3.2,3.7,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Academic Orientation,"This subcategory seeks to determine the degree to which a school encourages students to focus on meeting academic challenges. It includes measures of student attendance and graduation, as well as of academic emphasis.",Academic Challenge,2C-ii,"This measure draws on anonymous student reports about the degree to which teachers push them to do their best, work hard, and understand the material.",Teachers,How well does your school foster academic challenge for all students?,,t-acch-q1,2.69,3.2,3.7,4.51
School Culture,"This category measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student/teacher relationships, and student valuing of learning.",Academic Orientation,"This subcategory seeks to determine the degree to which a school encourages students to focus on meeting academic challenges. It includes measures of student attendance and graduation, as well as of academic emphasis.",Academic Challenge,2C-ii,"This measure draws on anonymous student reports about the degree to which teachers push them to do their best, work hard, and understand the material.",Students,How often does your teacher take time to make sure you understand the material?,,s-acpr-q4,2.69,3.2,3.7,4.51
Resources,"This category measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.  It considers factors like physical spaces and materials, class size, and family/school relationships.",Facilities and Personnel,"This subcategory seeks to determine the sufficiency of a school's staffing and facilities.  It measures the quality of physical spaces and curricular materials, as well as the availability of content specialists and support personnel.",Physical Space & Materials,3A-i,"This measure draws on anonymous teacher reports about their access to high-quality materials and facilities as well as administrative data on class size.",Admin Data,Average class size,,,2.34,2.85,3.35,4.26
Resources,"This category measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.  It considers factors like physical spaces and materials, class size, and family/school relationships.",Facilities and Personnel,"This subcategory seeks to determine the sufficiency of a school's staffing and facilities.  It measures the quality of physical spaces and curricular materials, as well as the availability of content specialists and support personnel.",Physical Space & Materials,3A-i,"This measure draws on anonymous teacher reports about their access to high-quality materials and facilities as well as administrative data on class size.",Teachers,How adequate is your access to the materials you need to effectively teach?,,t-reso-q1,2.34,2.85,3.35,4.26
Resources,"This category measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.  It considers factors like physical spaces and materials, class size, and family/school relationships.",Facilities and Personnel,"This subcategory seeks to determine the sufficiency of a school's staffing and facilities.  It measures the quality of physical spaces and curricular materials, as well as the availability of content specialists and support personnel.",Physical Space & Materials,3A-i,"This measure draws on anonymous teacher reports about their access to high-quality materials and facilities as well as administrative data on class size.",Teachers,How adequate is your access to the technology you need to effectively teach?,,t-reso-q2,2.34,2.85,3.35,4.26
Resources,"This category measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.  It considers factors like physical spaces and materials, class size, and family/school relationships.",Facilities and Personnel,"This subcategory seeks to determine the sufficiency of a school's staffing and facilities.  It measures the quality of physical spaces and curricular materials, as well as the availability of content specialists and support personnel.",Physical Space & Materials,3A-i,"This measure draws on anonymous teacher reports about their access to high-quality materials and facilities as well as administrative data on class size.",Teachers,How adequate is the support you receive for using technology?,,t-reso-q3,2.34,2.85,3.35,4.26
Resources,"This category measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.  It considers factors like physical spaces and materials, class size, and family/school relationships.",Facilities and Personnel,"This subcategory seeks to determine the sufficiency of a school's staffing and facilities.  It measures the quality of physical spaces and curricular materials, as well as the availability of content specialists and support personnel.",Physical Space & Materials,3A-i,"This measure draws on anonymous teacher reports about their access to high-quality materials and facilities as well as administrative data on class size.",Teachers,How sufficient is the physical space for school activities?,How sufficient is the physical space for in-school activities during the pandemic?,t-reso-q4,2.34,2.85,3.35,4.26
Resources,"This category measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.  It considers factors like physical spaces and materials, class size, and family/school relationships.",Facilities and Personnel,"This subcategory seeks to determine the sufficiency of a school's staffing and facilities.  It measures the quality of physical spaces and curricular materials, as well as the availability of content specialists and support personnel.",Physical Space & Materials,3A-i,"This measure draws on anonymous teacher reports about their access to high-quality materials and facilities as well as administrative data on class size.",Teachers,How well-maintained are school facilities?,How well-maintained are school facilities during the pandemic?,t-reso-q5,2.34,2.85,3.35,4.26
Resources,"This category measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.  It considers factors like physical spaces and materials, class size, and family/school relationships.",Facilities and Personnel,"This subcategory seeks to determine the sufficiency of a school's staffing and facilities.  It measures the quality of physical spaces and curricular materials, as well as the availability of content specialists and support personnel.",Content Specialists & Support Staff,3A-ii,"This measure includes student-to-art-teacher, student-to-counselor, and student-to-specialist ratios, and draws on anonymous student and teacher reports about the degree to which content specialists and support staff are available and effective.",Admin Data,Student to guidance counselor ratio,,,2.34,2.85,3.35,4.26
Resources,"This category measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.  It considers factors like physical spaces and materials, class size, and family/school relationships.",Facilities and Personnel,"This subcategory seeks to determine the sufficiency of a school's staffing and facilities.  It measures the quality of physical spaces and curricular materials, as well as the availability of content specialists and support personnel.",Content Specialists & Support Staff,3A-ii,"This measure includes student-to-art-teacher, student-to-counselor, and student-to-specialist ratios, and draws on anonymous student and teacher reports about the degree to which content specialists and support staff are available and effective.",Admin Data,Student to instructional support staff ratio,,,2.34,2.85,3.35,4.26
Resources,"This category measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.  It considers factors like physical spaces and materials, class size, and family/school relationships.",Facilities and Personnel,"This subcategory seeks to determine the sufficiency of a school's staffing and facilities.  It measures the quality of physical spaces and curricular materials, as well as the availability of content specialists and support personnel.",Content Specialists & Support Staff,3A-ii,"This measure includes student-to-art-teacher, student-to-counselor, and student-to-specialist ratios, and draws on anonymous student and teacher reports about the degree to which content specialists and support staff are available and effective.",Teachers,"Overall, how effective is the support students receive from non-teaching staff?",,t-sust-q1,2.34,2.85,3.35,4.26
Resources,"This category measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.  It considers factors like physical spaces and materials, class size, and family/school relationships.",Facilities and Personnel,"This subcategory seeks to determine the sufficiency of a school's staffing and facilities.  It measures the quality of physical spaces and curricular materials, as well as the availability of content specialists and support personnel.",Content Specialists & Support Staff,3A-ii,"This measure includes student-to-art-teacher, student-to-counselor, and student-to-specialist ratios, and draws on anonymous student and teacher reports about the degree to which content specialists and support staff are available and effective.",Teachers,How adequate is the number of non-teaching support staff?,,t-sust-q2,2.34,2.85,3.35,4.26
Resources,"This category measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.  It considers factors like physical spaces and materials, class size, and family/school relationships.",Facilities and Personnel,"This subcategory seeks to determine the sufficiency of a school's staffing and facilities.  It measures the quality of physical spaces and curricular materials, as well as the availability of content specialists and support personnel.",Content Specialists & Support Staff,3A-ii,"This measure includes student-to-art-teacher, student-to-counselor, and student-to-specialist ratios, and draws on anonymous student and teacher reports about the degree to which content specialists and support staff are available and effective.",Teachers,How often are non-teaching support staff available for students with non-academic issues?,How often are non-teaching support staff available either online or in person for students with non-academic issues?,t-sust-q3,2.34,2.85,3.35,4.26
Resources,"This category measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.  It considers factors like physical spaces and materials, class size, and family/school relationships.",Facilities and Personnel,"This subcategory seeks to determine the sufficiency of a school's staffing and facilities.  It measures the quality of physical spaces and curricular materials, as well as the availability of content specialists and support personnel.",Content Specialists & Support Staff,3A-ii,"This measure includes student-to-art-teacher, student-to-counselor, and student-to-specialist ratios, and draws on anonymous student and teacher reports about the degree to which content specialists and support staff are available and effective.",Teachers,How often are non-teaching support staff available for students who are struggling academically?,How often are non-teaching support staff available either online or in person for students who are struggling academically?,t-sust-q4,2.34,2.85,3.35,4.26
Resources,"This category measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.  It considers factors like physical spaces and materials, class size, and family/school relationships.",Facilities and Personnel,"This subcategory seeks to determine the sufficiency of a school's staffing and facilities.  It measures the quality of physical spaces and curricular materials, as well as the availability of content specialists and support personnel.",Content Specialists & Support Staff,3A-ii,"This measure includes student-to-art-teacher, student-to-counselor, and student-to-specialist ratios, and draws on anonymous student and teacher reports about the degree to which content specialists and support staff are available and effective.",Students,"When you need help learning something, is there an adult at school other than your teacher who can work with you?",,s-sust-q2,2.34,2.85,3.35,4.26
Resources,"This category measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.  It considers factors like physical spaces and materials, class size, and family/school relationships.",Facilities and Personnel,"This subcategory seeks to determine the sufficiency of a school's staffing and facilities.  It measures the quality of physical spaces and curricular materials, as well as the availability of content specialists and support personnel.",Content Specialists & Support Staff,3A-ii,"This measure includes student-to-art-teacher, student-to-counselor, and student-to-specialist ratios, and draws on anonymous student and teacher reports about the degree to which content specialists and support staff are available and effective.",Students,"When you are hurt, sad, or just need to talk to someone, is there an adult at school other than your teacher you can go to?",,s-sust-q1,2.34,2.85,3.35,4.26
Resources,"This category measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.  It considers factors like physical spaces and materials, class size, and family/school relationships.",Learning Resources,"This subcategory seeks to determine the degree to which a school's classrooms include the essential resources teachers need.  It includes measures of curriculum strength, curriculum variety, and cultural responsiveness.",Curricular Strength & Variety,3B-i,"This measure includes the percentage of students completing the state core curriculum, the number of different classes offered per student, and the percentage of students participating in Advanced Placement courses in high school.  It also draws on anonymous teacher reports on the strength and variety of the school curriculum.",Admin Data,Percent graduates completing MassCORE (HS only),,,2.34,2.85,3.35,4.61
Resources,"This category measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.  It considers factors like physical spaces and materials, class size, and family/school relationships.",Learning Resources,"This subcategory seeks to determine the degree to which a school's classrooms include the essential resources teachers need.  It includes measures of curriculum strength, curriculum variety, and cultural responsiveness.",Curricular Strength & Variety,3B-i,"This measure includes the percentage of students completing the state core curriculum, the number of different classes offered per student, and the percentage of students participating in Advanced Placement courses in high school.  It also draws on anonymous teacher reports on the strength and variety of the school curriculum.",Admin Data,Percent juniors and seniors enrolled in one AP (HS only),,,2.34,2.85,3.35,4.61
Resources,"This category measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.  It considers factors like physical spaces and materials, class size, and family/school relationships.",Learning Resources,"This subcategory seeks to determine the degree to which a school's classrooms include the essential resources teachers need.  It includes measures of curriculum strength, curriculum variety, and cultural responsiveness.",Curricular Strength & Variety,3B-i,"This measure includes the percentage of students completing the state core curriculum, the number of different classes offered per student, and the percentage of students participating in Advanced Placement courses in high school.  It also draws on anonymous teacher reports on the strength and variety of the school curriculum.",Admin Data,Percent AP test takers scoring 3 or higher (HS only),,,2.34,2.85,3.35,4.61
Resources,"This category measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.  It considers factors like physical spaces and materials, class size, and family/school relationships.",Learning Resources,"This subcategory seeks to determine the degree to which a school's classrooms include the essential resources teachers need.  It includes measures of curriculum strength, curriculum variety, and cultural responsiveness.",Curricular Strength & Variety,3B-i,"This measure includes the percentage of students completing the state core curriculum, the number of different classes offered per student, and the percentage of students participating in Advanced Placement courses in high school.  It also draws on anonymous teacher reports on the strength and variety of the school curriculum.",Teachers,"Overall, how rigorous is the curriculum that you are expected to teach?",,t-curv-q1,2.34,2.85,3.35,4.61
Resources,"This category measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.  It considers factors like physical spaces and materials, class size, and family/school relationships.",Learning Resources,"This subcategory seeks to determine the degree to which a school's classrooms include the essential resources teachers need.  It includes measures of curriculum strength, curriculum variety, and cultural responsiveness.",Curricular Strength & Variety,3B-i,"This measure includes the percentage of students completing the state core curriculum, the number of different classes offered per student, and the percentage of students participating in Advanced Placement courses in high school.  It also draws on anonymous teacher reports on the strength and variety of the school curriculum.",Teachers,How coherent is the curriculum that you are expected to teach?,,t-curv-q2,2.34,2.85,3.35,4.61
Resources,"This category measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.  It considers factors like physical spaces and materials, class size, and family/school relationships.",Learning Resources,"This subcategory seeks to determine the degree to which a school's classrooms include the essential resources teachers need.  It includes measures of curriculum strength, curriculum variety, and cultural responsiveness.",Curricular Strength & Variety,3B-i,"This measure includes the percentage of students completing the state core curriculum, the number of different classes offered per student, and the percentage of students participating in Advanced Placement courses in high school.  It also draws on anonymous teacher reports on the strength and variety of the school curriculum.",Teachers,"If one of your students transferred to another district with a challenging assortment of courses, how well prepared would he or she be?",,t-curv-q3,2.34,2.85,3.35,4.61
Resources,"This category measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.  It considers factors like physical spaces and materials, class size, and family/school relationships.",Learning Resources,"This subcategory seeks to determine the degree to which a school's classrooms include the essential resources teachers need.  It includes measures of curriculum strength, curriculum variety, and cultural responsiveness.",Curricular Strength & Variety,3B-i,"This measure includes the percentage of students completing the state core curriculum, the number of different classes offered per student, and the percentage of students participating in Advanced Placement courses in high school.  It also draws on anonymous teacher reports on the strength and variety of the school curriculum.",Teachers,How well-rounded is the curriculum that you and your colleagues teach?,,t-curv-q4,2.34,2.85,3.35,4.61
Resources,"This category measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.  It considers factors like physical spaces and materials, class size, and family/school relationships.",Learning Resources,"This subcategory seeks to determine the degree to which a school's classrooms include the essential resources teachers need.  It includes measures of curriculum strength, curriculum variety, and cultural responsiveness.",Cultural Responsiveness,3B-ii,"This measure draws on anonymous teacher reports on the degree to which the curriculum adequately represents diverse cultures and perspectives and the degree to which they are adequately supported and prepared to teach in a culturally responsive manner.",Teachers,How able are you to integrate material from different cultures into your class?,How able are you to integrate material from different cultures into your instruction either online or in person?',t-cure-q1,2.34,2.85,3.35,4.61
Resources,"This category measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.  It considers factors like physical spaces and materials, class size, and family/school relationships.",Learning Resources,"This subcategory seeks to determine the degree to which a school's classrooms include the essential resources teachers need.  It includes measures of curriculum strength, curriculum variety, and cultural responsiveness.",Cultural Responsiveness,3B-ii,"This measure draws on anonymous teacher reports on the degree to which the curriculum adequately represents diverse cultures and perspectives and the degree to which they are adequately supported and prepared to teach in a culturally responsive manner.",Teachers,How often do you integrate culturally diverse content into your teaching?,,t-cure-q2,2.34,2.85,3.35,4.61
Resources,"This category measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.  It considers factors like physical spaces and materials, class size, and family/school relationships.",Learning Resources,"This subcategory seeks to determine the degree to which a school's classrooms include the essential resources teachers need.  It includes measures of curriculum strength, curriculum variety, and cultural responsiveness.",Cultural Responsiveness,3B-ii,"This measure draws on anonymous teacher reports on the degree to which the curriculum adequately represents diverse cultures and perspectives and the degree to which they are adequately supported and prepared to teach in a culturally responsive manner.",Teachers,How often do you use teaching strategies to facilitate learning among culturally diverse students?,,t-cure-q3,2.34,2.85,3.35,4.61
Resources,"This category measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.  It considers factors like physical spaces and materials, class size, and family/school relationships.",Learning Resources,"This subcategory seeks to determine the degree to which a school's classrooms include the essential resources teachers need.  It includes measures of curriculum strength, curriculum variety, and cultural responsiveness.",Cultural Responsiveness,3B-ii,"This measure draws on anonymous teacher reports on the degree to which the curriculum adequately represents diverse cultures and perspectives and the degree to which they are adequately supported and prepared to teach in a culturally responsive manner.",Teachers,How motivated are you to integrate culturally diverse content in your classroom?,,t-cure-q4,2.34,2.85,3.35,4.61
Resources,"This category measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.  It considers factors like physical spaces and materials, class size, and family/school relationships.",Learning Resources,"This subcategory seeks to determine the degree to which a school's classrooms include the essential resources teachers need.  It includes measures of curriculum strength, curriculum variety, and cultural responsiveness.",Cultural Responsiveness,3B-ii,"This measure draws on anonymous teacher reports on the degree to which the curriculum adequately represents diverse cultures and perspectives and the degree to which they are adequately supported and prepared to teach in a culturally responsive manner.",Students,"In your classes, how often do you see many different kinds of people represented in what you study?",,s-cure-q2,2.34,2.85,3.35,4.61
Resources,"This category measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.  It considers factors like physical spaces and materials, class size, and family/school relationships.",Learning Resources,"This subcategory seeks to determine the degree to which a school's classrooms include the essential resources teachers need.  It includes measures of curriculum strength, curriculum variety, and cultural responsiveness.",Cultural Responsiveness,3B-ii,"This measure draws on anonymous teacher reports on the degree to which the curriculum adequately represents diverse cultures and perspectives and the degree to which they are adequately supported and prepared to teach in a culturally responsive manner.",Students,How valued do you think all students' home cultures and languages are in the school curriculum?,,s-cure-q3,2.34,2.85,3.35,4.61
Resources,"This category measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.  It considers factors like physical spaces and materials, class size, and family/school relationships.",Learning Resources,"This subcategory seeks to determine the degree to which a school's classrooms include the essential resources teachers need.  It includes measures of curriculum strength, curriculum variety, and cultural responsiveness.",Cultural Responsiveness,3B-ii,"This measure draws on anonymous teacher reports on the degree to which the curriculum adequately represents diverse cultures and perspectives and the degree to which they are adequately supported and prepared to teach in a culturally responsive manner.",Students,How valued do you think your home culture and language are in the school curriculum?,,s-cure-q4,2.34,2.85,3.35,4.61
Resources,"This category measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.  It considers factors like physical spaces and materials, class size, and family/school relationships.",Learning Resources,"This subcategory seeks to determine the degree to which a school's classrooms include the essential resources teachers need.  It includes measures of curriculum strength, curriculum variety, and cultural responsiveness.",Cultural Responsiveness,3B-ii,"This measure draws on anonymous teacher reports on the degree to which the curriculum adequately represents diverse cultures and perspectives and the degree to which they are adequately supported and prepared to teach in a culturally responsive manner.",Students,"In your classes, how often do you see people like you represented in what you study?",,s-cure-q1,2.34,2.85,3.35,4.61
Resources,"This category measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.  It considers factors like physical spaces and materials, class size, and family/school relationships.",Learning Resources,"This subcategory seeks to determine the degree to which a school's classrooms include the essential resources teachers need.  It includes measures of curriculum strength, curriculum variety, and cultural responsiveness.",Co-Curricular Activities,3B-iii,"This measure will include administrative data on the number and variety of extra- and co-curricular activities offered (e.g., sports teams and clubs).",Admin Data,Student to co-curricular activities ratio (HS only),,,2.34,2.85,3.35,4.61
Resources,"This category measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.  It considers factors like physical spaces and materials, class size, and family/school relationships.",Community Support,"This subcategory seeks to determine the degree to which schools are supported by the surrounding community.  It includes measures of family/school relationships, community involvement, and external partnerships.",Family-School Relationships,3C-i,"This measure draws on anonymous teacher reports about parental engagement, as well as anonymous student reports about the degree to which their parents support them as learners.",Teachers,How often do you connect with parents at your school?,,t-peng-q1,2.19,2.7,3.2,4.41
Resources,"This category measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.  It considers factors like physical spaces and materials, class size, and family/school relationships.",Community Support,"This subcategory seeks to determine the degree to which schools are supported by the surrounding community.  It includes measures of family/school relationships, community involvement, and external partnerships.",Family-School Relationships,3C-i,"This measure draws on anonymous teacher reports about parental engagement, as well as anonymous student reports about the degree to which their parents support them as learners.",Teachers,How involved have parents been in fundraising efforts at your school?,,t-peng-q2,2.19,2.7,3.2,4.41
Resources,"This category measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.  It considers factors like physical spaces and materials, class size, and family/school relationships.",Community Support,"This subcategory seeks to determine the degree to which schools are supported by the surrounding community.  It includes measures of family/school relationships, community involvement, and external partnerships.",Family-School Relationships,3C-i,"This measure draws on anonymous teacher reports about parental engagement, as well as anonymous student reports about the degree to which their parents support them as learners.",Teachers,How involved have parents been with parent groups at your school?,,t-peng-q3,2.19,2.7,3.2,4.41
Resources,"This category measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.  It considers factors like physical spaces and materials, class size, and family/school relationships.",Community Support,"This subcategory seeks to determine the degree to which schools are supported by the surrounding community.  It includes measures of family/school relationships, community involvement, and external partnerships.",Family-School Relationships,3C-i,"This measure draws on anonymous teacher reports about parental engagement, as well as anonymous student reports about the degree to which their parents support them as learners.",Teachers,How often does the average parent help out at your school?,,t-peng-q4,2.19,2.7,3.2,4.41
