Category,Category ID,Category Description,Category Short Description,Subcategory,Subcategory ID,Subcategory Description,Subcategory Warning High,Subcategory Watch Low,Subcategory Watch High,Subcategory Growth Low,Subcategory Growth High,Subcategory Approval Low,Subcategory Approval High,Subcategory Ideal Low,Measures,Measure Description,Measure ID,Measure Warning High,Measure Watch Low,Measure Watch High,Measure Growth Low,Measure Growth High,Measure Approval Low,Measure Approval High,Measure Ideal Low,Source,Source Notes,Question/item (21-22),Question/item (20-21),Original Item (19-20 surveys),Original Item (20-21 surveys),Survey Item ID,HS only admin item?,Admin Data Benchmark (Absolute) ,Admin Data Unit (Absolute) ,Item Warning High,Item Watch Low,Item Watch High,Item Growth Low,Item Growth High,Item Approval Low,Item Approval High,Item Ideal Low
School Culture,2,"Measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student-teacher relationships, and student valuing of learning.",This is the category short description for school culture.,Relationships,2B,Seeks to determine the degree to which school climate includes supportive student relationships. It includes measures of student sense of belonging and student-teacher relationships. ,2.23,2.24,2.74,2.75,3.24,3.25,4.5,4.51,Student Sense of Belonging,"Draws on anonymous student reports about the degree to which they feel understood, supported, and accepted by students and adults at the school.",2B-i,2.23,2.24,2.74,2.75,3.24,3.25,4.5,4.51,Students,,How much respect do students in your school show you?,How much respect do students in your school show you?,,,s-sbel-q4,,,,2.23,2.24,2.74,2.75,3.24,3.25,4.5,4.51
School Culture,2,"Measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student-teacher relationships, and student valuing of learning.",This is the category short description for school culture.,Relationships,2B,Seeks to determine the degree to which school climate includes supportive student relationships. It includes measures of student sense of belonging and student-teacher relationships. ,2.23,2.24,2.74,2.75,3.24,3.25,4.5,4.51,Student Sense of Belonging,"Draws on anonymous student reports about the degree to which they feel understood, supported, and accepted by students and adults at the school.",2B-i,2.23,2.24,2.74,2.75,3.24,3.25,4.5,4.51,Students,,How connected do you feel to the adults at your school?,How connected do you feel to the adults at your school?,,,s-sbel-q5,,,,2.23,2.24,2.74,2.75,3.24,3.25,4.5,4.51
School Culture,2,"Measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student-teacher relationships, and student valuing of learning.",This is the category short description for school culture.,Relationships,2B,Seeks to determine the degree to which school climate includes supportive student relationships. It includes measures of student sense of belonging and student-teacher relationships. ,2.23,2.24,2.74,2.75,3.24,3.25,4.5,4.51,Student-Teacher Relationships,Draws on anonymous student reports about the degree to which they feel respected and cared for by their teachers.,2B-ii,2.23,2.24,2.74,2.75,3.24,3.25,4.5,4.51,Students,,"When your teacher asks how you are doing, how often do you feel that he/she is really interested in your answer?","When your teacher asks how you are doing, how often do you feel that he/she is really interested in your answer?",,,s-tint-q1,,,,2.23,2.24,2.74,2.75,3.24,3.25,4.5,4.51
School Culture,2,"Measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student-teacher relationships, and student valuing of learning.",This is the category short description for school culture.,Relationships,2B,Seeks to determine the degree to which school climate includes supportive student relationships. It includes measures of student sense of belonging and student-teacher relationships. ,2.23,2.24,2.74,2.75,3.24,3.25,4.5,4.51,Student-Teacher Relationships,Draws on anonymous student reports about the degree to which they feel respected and cared for by their teachers.,2B-ii,2.23,2.24,2.74,2.75,3.24,3.25,4.5,4.51,Students,,How interested in your teacher in what you do outside of class?,How interested in your teacher in what you do outside of class?,,,s-tint-q2,,,,2.23,2.24,2.74,2.75,3.24,3.25,4.5,4.51
School Culture,2,"Measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student-teacher relationships, and student valuing of learning.",This is the category short description for school culture.,Relationships,2B,Seeks to determine the degree to which school climate includes supportive student relationships. It includes measures of student sense of belonging and student-teacher relationships. ,2.23,2.24,2.74,2.75,3.24,3.25,4.5,4.51,Student-Teacher Relationships,Draws on anonymous student reports about the degree to which they feel respected and cared for by their teachers.,2B-ii,2.23,2.24,2.74,2.75,3.24,3.25,4.5,4.51,Students,,"If you walked into class upset, how concerned would your teacher be?","If you walked into class upset, how concerned would your teacher be?",,,s-tint-q3,,,,2.23,2.24,2.74,2.75,3.24,3.25,4.5,4.51
School Culture,2,"Measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student-teacher relationships, and student valuing of learning.",This is the category short description for school culture.,Relationships,2B,Seeks to determine the degree to which school climate includes supportive student relationships. It includes measures of student sense of belonging and student-teacher relationships. ,2.23,2.24,2.74,2.75,3.24,3.25,4.5,4.51,Student-Teacher Relationships,Draws on anonymous student reports about the degree to which they feel respected and cared for by their teachers.,2B-ii,2.23,2.24,2.74,2.75,3.24,3.25,4.5,4.51,Students,,"If you came back to visit class three years from now, how excited would your teacher be to see you?","If you came back to visit class three years from now, how excited would your teacher be to see you?",,,s-tint-q4,,,,2.23,2.24,2.74,2.75,3.24,3.25,4.5,4.51
School Culture,2,"Measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student-teacher relationships, and student valuing of learning.",This is the category short description for school culture.,Relationships,2B,Seeks to determine the degree to which school climate includes supportive student relationships. It includes measures of student sense of belonging and student-teacher relationships. ,2.23,2.24,2.74,2.75,3.24,3.25,4.5,4.51,Student-Teacher Relationships,Draws on anonymous student reports about the degree to which they feel respected and cared for by their teachers.,2B-ii,2.23,2.24,2.74,2.75,3.24,3.25,4.5,4.51,Students,,"If you had something on your mind, how carefully would your teacher listen to you?","If you had something on your mind, how carefully would your teacher listen to you?",,,s-tint-q5,,,,2.23,2.24,2.74,2.75,3.24,3.25,4.5,4.51
School Culture,2,"Measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student-teacher relationships, and student valuing of learning.",This is the category short description for school culture.,Academic Orientation,2C,Seeks to determine the degree to which student academic experiences are challenging and meaningful to them. It includes measures of valuing of learning and academic challenge. ,2.78,2.79,3.29,3.3,3.79,3.8,4.6,4.61,Valuing of Learning,Draws on anonymous student reports about how important school is to them and how much they view themselves as learners. It also includes attendance rates.,2C-i,2.88,2.89,3.39,3.4,3.89,3.9,4.7,4.71,Students,,"Overall, how important is school to you?","Overall, how important is school to you?",,,s-vale-q1,,,,2.68,2.69,3.19,3.2,3.69,3.7,4.5,4.51
School Culture,2,"Measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student-teacher relationships, and student valuing of learning.",This is the category short description for school culture.,Academic Orientation,2C,Seeks to determine the degree to which student academic experiences are challenging and meaningful to them. It includes measures of valuing of learning and academic challenge. ,2.78,2.79,3.29,3.3,3.79,3.8,4.6,4.61,Valuing of Learning,Draws on anonymous student reports about how important school is to them and how much they view themselves as learners. It also includes attendance rates.,2C-i,2.88,2.89,3.39,3.4,3.89,3.9,4.7,4.71,Students,,How curious are you to learn more about things you talked about in school?,How curious are you to learn more about things you talked about in school?,,,s-vale-q2,,,,2.68,2.69,3.19,3.2,3.69,3.7,4.5,4.51
School Culture,2,"Measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student-teacher relationships, and student valuing of learning.",This is the category short description for school culture.,Academic Orientation,2C,Seeks to determine the degree to which student academic experiences are challenging and meaningful to them. It includes measures of valuing of learning and academic challenge. ,2.78,2.79,3.29,3.3,3.79,3.8,4.6,4.61,Valuing of Learning,Draws on anonymous student reports about how important school is to them and how much they view themselves as learners. It also includes attendance rates.,2C-i,2.88,2.89,3.39,3.4,3.89,3.9,4.7,4.71,Students,,How much do you enjoy learning in school?,How much do you enjoy learning in school?,,,s-vale-q3,,,,2.68,2.69,3.19,3.2,3.69,3.7,4.5,4.51
School Culture,2,"Measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student-teacher relationships, and student valuing of learning.",This is the category short description for school culture.,Academic Orientation,2C,Seeks to determine the degree to which student academic experiences are challenging and meaningful to them. It includes measures of valuing of learning and academic challenge. ,2.78,2.79,3.29,3.3,3.79,3.8,4.6,4.61,Valuing of Learning,Draws on anonymous student reports about how important school is to them and how much they view themselves as learners. It also includes attendance rates.,2C-i,2.88,2.89,3.39,3.4,3.89,3.9,4.7,4.71,Students,,How much do you see yourself as a learner?,How much do you see yourself as a learner?,,,s-vale-q4,,,,2.68,2.69,3.19,3.2,3.69,3.7,4.5,4.51
School Culture,2,"Measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student-teacher relationships, and student valuing of learning.",This is the category short description for school culture.,Academic Orientation,2C,Seeks to determine the degree to which student academic experiences are challenging and meaningful to them. It includes measures of valuing of learning and academic challenge. ,2.78,2.79,3.29,3.3,3.79,3.8,4.6,4.61,Valuing of Learning,Draws on anonymous student reports about how important school is to them and how much they view themselves as learners. It also includes attendance rates.,2C-i,2.88,2.89,3.39,3.4,3.89,3.9,4.7,4.71,Admin Data,"MA DESE, 2019-20",Chronic absence rate,Chronic absence rate,,,a-vale-i1,,10,number,2.98,2.99,3.49,3.5,3.99,4,4.8,4.81
School Culture,2,"Measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student-teacher relationships, and student valuing of learning.",This is the category short description for school culture.,Academic Orientation,2C,Seeks to determine the degree to which student academic experiences are challenging and meaningful to them. It includes measures of valuing of learning and academic challenge. ,2.78,2.79,3.29,3.3,3.79,3.8,4.6,4.61,Valuing of Learning,Draws on anonymous student reports about how important school is to them and how much they view themselves as learners. It also includes attendance rates.,2C-i,2.88,2.89,3.39,3.4,3.89,3.9,4.7,4.71,Admin Data,Constructed by MCIEA staff,Average daily attendance,Average daily attendance,,,a-vale-i2,,90,number,2.98,2.99,3.49,3.5,3.99,4,4.8,4.81
School Culture,2,"Measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student-teacher relationships, and student valuing of learning.",This is the category short description for school culture.,Academic Orientation,2C,Seeks to determine the degree to which student academic experiences are challenging and meaningful to them. It includes measures of valuing of learning and academic challenge. ,2.78,2.79,3.29,3.3,3.79,3.8,4.6,4.61,Academic Challenge,"Draws on anonymous student reports about the degree to which teachers encourage students to do their best, work hard, and understand new concepts. ",2C-ii,2.68,2.69,3.19,3.2,3.69,3.7,4.5,4.51,Students,,How much does your teacher encourage you to do your best?,How much does your teacher encourage you to do your best?,,,s-acpr-q1,,,,2.68,2.69,3.19,3.2,3.69,3.7,4.5,4.51
School Culture,2,"Measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student-teacher relationships, and student valuing of learning.",This is the category short description for school culture.,Academic Orientation,2C,Seeks to determine the degree to which student academic experiences are challenging and meaningful to them. It includes measures of valuing of learning and academic challenge. ,2.78,2.79,3.29,3.3,3.79,3.8,4.6,4.61,Academic Challenge,"Draws on anonymous student reports about the degree to which teachers encourage students to do their best, work hard, and understand new concepts. ",2C-ii,2.68,2.69,3.19,3.2,3.69,3.7,4.5,4.51,Students,,"When you feel like giving up on a difficult task, how likely is it that your teacher will help you keep trying?","When you feel like giving up on a difficult task, how likely is it that your teacher will help you keep trying?",,,s-acpr-q2,,,,2.68,2.69,3.19,3.2,3.69,3.7,4.5,4.51
School Culture,2,"Measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student-teacher relationships, and student valuing of learning.",This is the category short description for school culture.,Academic Orientation,2C,Seeks to determine the degree to which student academic experiences are challenging and meaningful to them. It includes measures of valuing of learning and academic challenge. ,2.78,2.79,3.29,3.3,3.79,3.8,4.6,4.61,Academic Challenge,"Draws on anonymous student reports about the degree to which teachers encourage students to do their best, work hard, and understand new concepts. ",2C-ii,2.68,2.69,3.19,3.2,3.69,3.7,4.5,4.51,Students,,How often does your teacher ask you to explain your answers?,How often does your teacher ask you to explain your answers?,,,s-acpr-q3,,,,2.68,2.69,3.19,3.2,3.69,3.7,4.5,4.51
School Culture,2,"Measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student-teacher relationships, and student valuing of learning.",This is the category short description for school culture.,Academic Orientation,2C,Seeks to determine the degree to which student academic experiences are challenging and meaningful to them. It includes measures of valuing of learning and academic challenge. ,2.78,2.79,3.29,3.3,3.79,3.8,4.6,4.61,Academic Challenge,"Draws on anonymous student reports about the degree to which teachers encourage students to do their best, work hard, and understand new concepts. ",2C-ii,2.68,2.69,3.19,3.2,3.69,3.7,4.5,4.51,Students,,How often does your teacher take time to make sure you understand the material?,How often does your teacher take time to make sure you understand the material?,,,s-acpr-q4,,,,2.68,2.69,3.19,3.2,3.69,3.7,4.5,4.51
School Culture,2,"Measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student-teacher relationships, and student valuing of learning.",This is the category short description for school culture.,Academic Orientation,2C,Seeks to determine the degree to which student academic experiences are challenging and meaningful to them. It includes measures of valuing of learning and academic challenge. ,2.78,2.79,3.29,3.3,3.79,3.8,4.6,4.61,Academic Challenge,"Draws on anonymous student reports about the degree to which teachers encourage students to do their best, work hard, and understand new concepts. ",2C-ii,2.68,2.69,3.19,3.2,3.69,3.7,4.5,4.51,Teachers,,How well does your school foster academic challenge for all students?,How well does your school foster academic challenge for all students?,,,t-acch-q1,,,,2.68,2.69,3.19,3.2,3.69,3.7,4.5,4.51
School Culture,2,"Measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student-teacher relationships, and student valuing of learning.",This is the category short description for school culture.,Academic Orientation,2C,Seeks to determine the degree to which student academic experiences are challenging and meaningful to them. It includes measures of valuing of learning and academic challenge. ,2.78,2.79,3.29,3.3,3.79,3.8,4.6,4.61,Academic Challenge,"Draws on anonymous student reports about the degree to which teachers encourage students to do their best, work hard, and understand new concepts. ",2C-ii,2.68,2.69,3.19,3.2,3.69,3.7,4.5,4.51,Teachers,,How effectively does your school challenge students who are struggling academically?,How effectively does your school challenge students who are struggling academically?,,,t-acch-q2,,,,2.68,2.69,3.19,3.2,3.69,3.7,4.5,4.51
School Culture,2,"Measures the degree to which the school environment is safe, caring, and academically-oriented.  It considers factors like bullying, student-teacher relationships, and student valuing of learning.",This is the category short description for school culture.,Academic Orientation,2C,Seeks to determine the degree to which student academic experiences are challenging and meaningful to them. It includes measures of valuing of learning and academic challenge. ,2.78,2.79,3.29,3.3,3.79,3.8,4.6,4.61,Academic Challenge,"Draws on anonymous student reports about the degree to which teachers encourage students to do their best, work hard, and understand new concepts. ",2C-ii,2.68,2.69,3.19,3.2,3.69,3.7,4.5,4.51,Teachers,,How effectively does your school challenge students who are thriving academically?,How effectively does your school challenge students who are thriving academically?,,,t-acch-q3,,,,2.68,2.69,3.19,3.2,3.69,3.7,4.5,4.51
Resources,3,"Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community. It considers factors like physical spaces and materials, class size, and family-school relationships.","Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.",Facilities & Personnel,3A,Seeks to determine the sufficiency of a school's staffing and facilities. It includes measures of physical space & materials and content specialists & support staff,2.634166667,2.644166667,3.144166667,3.154166667,3.644166667,3.729166667,4.629166667,4.639166667,Physical Space & Materials,Draws on anonymous teacher reports about their access to high-quality materials and facilities. It also includes administrative data on class size.,3A-i,2.505,2.515,3.015,3.025,3.515,3.675,4.575,4.585,Admin Data,Constructed by MCIEA staff,Average class size,Average class size,,,a-reso-i1,,20,number,2.68,2.69,3.19,3.2,3.69,4,4.9,4.91
Resources,3,"Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community. It considers factors like physical spaces and materials, class size, and family-school relationships.","Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.",Facilities & Personnel,3A,Seeks to determine the sufficiency of a school's staffing and facilities. It includes measures of physical space & materials and content specialists & support staff,2.634166667,2.644166667,3.144166667,3.154166667,3.644166667,3.729166667,4.629166667,4.639166667,Physical Space & Materials,Draws on anonymous teacher reports about their access to high-quality materials and facilities. It also includes administrative data on class size.,3A-i,2.505,2.515,3.015,3.025,3.515,3.675,4.575,4.585,Teachers,,How adequate is your access to the materials you need to effectively teach?,How adequate is your access to the materials you need to effectively teach?,,,t-reso-q1,,,,2.33,2.34,2.84,2.85,3.34,3.35,4.25,4.26
Resources,3,"Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community. It considers factors like physical spaces and materials, class size, and family-school relationships.","Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.",Facilities & Personnel,3A,Seeks to determine the sufficiency of a school's staffing and facilities. It includes measures of physical space & materials and content specialists & support staff,2.634166667,2.644166667,3.144166667,3.154166667,3.644166667,3.729166667,4.629166667,4.639166667,Physical Space & Materials,Draws on anonymous teacher reports about their access to high-quality materials and facilities. It also includes administrative data on class size.,3A-i,2.505,2.515,3.015,3.025,3.515,3.675,4.575,4.585,Teachers,,How adequate is your access to the technology you need to effectively teach?,How adequate is your access to the technology you need to effectively teach?,,,t-reso-q2,,,,2.33,2.34,2.84,2.85,3.34,3.35,4.25,4.26
Resources,3,"Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community. It considers factors like physical spaces and materials, class size, and family-school relationships.","Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.",Facilities & Personnel,3A,Seeks to determine the sufficiency of a school's staffing and facilities. It includes measures of physical space & materials and content specialists & support staff,2.634166667,2.644166667,3.144166667,3.154166667,3.644166667,3.729166667,4.629166667,4.639166667,Physical Space & Materials,Draws on anonymous teacher reports about their access to high-quality materials and facilities. It also includes administrative data on class size.,3A-i,2.505,2.515,3.015,3.025,3.515,3.675,4.575,4.585,Teachers,,How adequate is the support you receive for using technology?,How adequate is the support you receive for using technology?,,,t-reso-q3,,,,2.33,2.34,2.84,2.85,3.34,3.35,4.25,4.26
Resources,3,"Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community. It considers factors like physical spaces and materials, class size, and family-school relationships.","Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.",Facilities & Personnel,3A,Seeks to determine the sufficiency of a school's staffing and facilities. It includes measures of physical space & materials and content specialists & support staff,2.634166667,2.644166667,3.144166667,3.154166667,3.644166667,3.729166667,4.629166667,4.639166667,Physical Space & Materials,Draws on anonymous teacher reports about their access to high-quality materials and facilities. It also includes administrative data on class size.,3A-i,2.505,2.515,3.015,3.025,3.515,3.675,4.575,4.585,Teachers,,How sufficient is the physical space for in-school activities during the pandemic?,How sufficient is the physical space for in-school activities during the pandemic?,,How sufficient is the physical space for school activities?,t-reso-q4,,,,2.33,2.34,2.84,2.85,3.34,3.35,4.25,4.26
Resources,3,"Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community. It considers factors like physical spaces and materials, class size, and family-school relationships.","Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.",Facilities & Personnel,3A,Seeks to determine the sufficiency of a school's staffing and facilities. It includes measures of physical space & materials and content specialists & support staff,2.634166667,2.644166667,3.144166667,3.154166667,3.644166667,3.729166667,4.629166667,4.639166667,Physical Space & Materials,Draws on anonymous teacher reports about their access to high-quality materials and facilities. It also includes administrative data on class size.,3A-i,2.505,2.515,3.015,3.025,3.515,3.675,4.575,4.585,Teachers,,How well-maintained are school facilities during the pandemic?,How well-maintained are school facilities during the pandemic?,,How well-maintained are school facilities?,t-reso-q5,,,,2.33,2.34,2.84,2.85,3.34,3.35,4.25,4.26
Resources,3,"Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community. It considers factors like physical spaces and materials, class size, and family-school relationships.","Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.",Facilities & Personnel,3A,Seeks to determine the sufficiency of a school's staffing and facilities. It includes measures of physical space & materials and content specialists & support staff,2.634166667,2.644166667,3.144166667,3.154166667,3.644166667,3.729166667,4.629166667,4.639166667,Content Specialists & Support Staff,"Draws on anonymous student and teacher reports about the degree to which content specialists and support staff are available to help students with academic and non-academic needs. It also includes student-to-art-teacher, student-to-counselor, and student-to-specialist ratios.",3A-ii,2.763333333,2.773333333,3.273333333,3.283333333,3.773333333,3.783333333,4.683333333,4.693333333,Admin Data,American School Counselor Association (2005),Student to guidance counselor ratio,Student to guidance counselor ratio,,,a-sust-i1,,250,ratio,2.98,2.99,3.49,3.5,3.99,4,4.9,4.91
Resources,3,"Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community. It considers factors like physical spaces and materials, class size, and family-school relationships.","Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.",Facilities & Personnel,3A,Seeks to determine the sufficiency of a school's staffing and facilities. It includes measures of physical space & materials and content specialists & support staff,2.634166667,2.644166667,3.144166667,3.154166667,3.644166667,3.729166667,4.629166667,4.639166667,Content Specialists & Support Staff,"Draws on anonymous student and teacher reports about the degree to which content specialists and support staff are available to help students with academic and non-academic needs. It also includes student-to-art-teacher, student-to-counselor, and student-to-specialist ratios.",3A-ii,2.763333333,2.773333333,3.273333333,3.283333333,3.773333333,3.783333333,4.683333333,4.693333333,Admin Data,American School Counselor Association (2005),Student to mental health counselor ratio,Student to mental health counselor ratio,,,a-sust-i2,,250,ratio,2.98,2.99,3.49,3.5,3.99,4,4.9,4.91
Resources,3,"Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community. It considers factors like physical spaces and materials, class size, and family-school relationships.","Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.",Facilities & Personnel,3A,Seeks to determine the sufficiency of a school's staffing and facilities. It includes measures of physical space & materials and content specialists & support staff,2.634166667,2.644166667,3.144166667,3.154166667,3.644166667,3.729166667,4.629166667,4.639166667,Content Specialists & Support Staff,"Draws on anonymous student and teacher reports about the degree to which content specialists and support staff are available to help students with academic and non-academic needs. It also includes student-to-art-teacher, student-to-counselor, and student-to-specialist ratios.",3A-ii,2.763333333,2.773333333,3.273333333,3.283333333,3.773333333,3.783333333,4.683333333,4.693333333,Admin Data,"NCES, 2007-08",Student to instructional support staff ratio,Student to instructional support staff ratio,,,a-sust-i3,,43.4,ratio,2.98,2.99,3.49,3.5,3.99,4,4.9,4.91
Resources,3,"Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community. It considers factors like physical spaces and materials, class size, and family-school relationships.","Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.",Facilities & Personnel,3A,Seeks to determine the sufficiency of a school's staffing and facilities. It includes measures of physical space & materials and content specialists & support staff,2.634166667,2.644166667,3.144166667,3.154166667,3.644166667,3.729166667,4.629166667,4.639166667,Content Specialists & Support Staff,"Draws on anonymous student and teacher reports about the degree to which content specialists and support staff are available to help students with academic and non-academic needs. It also includes student-to-art-teacher, student-to-counselor, and student-to-specialist ratios.",3A-ii,2.763333333,2.773333333,3.273333333,3.283333333,3.773333333,3.783333333,4.683333333,4.693333333,Admin Data,Constructed by MCIEA staff,Student to art teacher ratio,Student to art teacher ratio,,,a-sust-i4,,500,ratio,2.98,2.99,3.49,3.5,3.99,4,4.9,4.91
Resources,3,"Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community. It considers factors like physical spaces and materials, class size, and family-school relationships.","Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.",Facilities & Personnel,3A,Seeks to determine the sufficiency of a school's staffing and facilities. It includes measures of physical space & materials and content specialists & support staff,2.634166667,2.644166667,3.144166667,3.154166667,3.644166667,3.729166667,4.629166667,4.639166667,Content Specialists & Support Staff,"Draws on anonymous student and teacher reports about the degree to which content specialists and support staff are available to help students with academic and non-academic needs. It also includes student-to-art-teacher, student-to-counselor, and student-to-specialist ratios.",3A-ii,2.763333333,2.773333333,3.273333333,3.283333333,3.773333333,3.783333333,4.683333333,4.693333333,Teachers,,"Overall, how effective is the support students receive from non-teaching staff?","Overall, how effective is the support students receive from non-teaching staff?",,,t-sust-q1,,,,2.33,2.34,2.84,2.85,3.34,3.35,4.25,4.26
Resources,3,"Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community. It considers factors like physical spaces and materials, class size, and family-school relationships.","Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.",Facilities & Personnel,3A,Seeks to determine the sufficiency of a school's staffing and facilities. It includes measures of physical space & materials and content specialists & support staff,2.634166667,2.644166667,3.144166667,3.154166667,3.644166667,3.729166667,4.629166667,4.639166667,Content Specialists & Support Staff,"Draws on anonymous student and teacher reports about the degree to which content specialists and support staff are available to help students with academic and non-academic needs. It also includes student-to-art-teacher, student-to-counselor, and student-to-specialist ratios.",3A-ii,2.763333333,2.773333333,3.273333333,3.283333333,3.773333333,3.783333333,4.683333333,4.693333333,Teachers,,How adequate is the number of non-teaching support staff?,How adequate is the number of non-teaching support staff?,,,t-sust-q2,,,,2.33,2.34,2.84,2.85,3.34,3.35,4.25,4.26
Resources,3,"Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community. It considers factors like physical spaces and materials, class size, and family-school relationships.","Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.",Facilities & Personnel,3A,Seeks to determine the sufficiency of a school's staffing and facilities. It includes measures of physical space & materials and content specialists & support staff,2.634166667,2.644166667,3.144166667,3.154166667,3.644166667,3.729166667,4.629166667,4.639166667,Content Specialists & Support Staff,"Draws on anonymous student and teacher reports about the degree to which content specialists and support staff are available to help students with academic and non-academic needs. It also includes student-to-art-teacher, student-to-counselor, and student-to-specialist ratios.",3A-ii,2.763333333,2.773333333,3.273333333,3.283333333,3.773333333,3.783333333,4.683333333,4.693333333,Teachers,,How often are non-teaching support staff available either online or in person for students with non-academic issues?,How often are non-teaching support staff available either online or in person for students with non-academic issues?,,How often are non-teaching support staff available for students with non-academic issues?,t-sust-q3,,,,2.33,2.34,2.84,2.85,3.34,3.35,4.25,4.26
Resources,3,"Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community. It considers factors like physical spaces and materials, class size, and family-school relationships.","Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.",Facilities & Personnel,3A,Seeks to determine the sufficiency of a school's staffing and facilities. It includes measures of physical space & materials and content specialists & support staff,2.634166667,2.644166667,3.144166667,3.154166667,3.644166667,3.729166667,4.629166667,4.639166667,Content Specialists & Support Staff,"Draws on anonymous student and teacher reports about the degree to which content specialists and support staff are available to help students with academic and non-academic needs. It also includes student-to-art-teacher, student-to-counselor, and student-to-specialist ratios.",3A-ii,2.763333333,2.773333333,3.273333333,3.283333333,3.773333333,3.783333333,4.683333333,4.693333333,Teachers,,How often are non-teaching support staff available either online or in person for students who are struggling academically?,How often are non-teaching support staff available either online or in person for students who are struggling academically?,,How often are non-teaching support staff available for students who are struggling academically?,t-sust-q4,,,,2.33,2.34,2.84,2.85,3.34,3.35,4.25,4.26
Resources,3,"Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community. It considers factors like physical spaces and materials, class size, and family-school relationships.","Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.",Facilities & Personnel,3A,Seeks to determine the sufficiency of a school's staffing and facilities. It includes measures of physical space & materials and content specialists & support staff,2.634166667,2.644166667,3.144166667,3.154166667,3.644166667,3.729166667,4.629166667,4.639166667,Content Specialists & Support Staff,"Draws on anonymous student and teacher reports about the degree to which content specialists and support staff are available to help students with academic and non-academic needs. It also includes student-to-art-teacher, student-to-counselor, and student-to-specialist ratios.",3A-ii,2.763333333,2.773333333,3.273333333,3.283333333,3.773333333,3.783333333,4.683333333,4.693333333,Students,,"When you need help learning something, is there an adult at school other than your teacher who can work with you?","When you need help learning something, is there an adult at school other than your teacher who can work with you?",,,s-sust-q2,,,,2.33,2.34,2.84,2.85,3.34,3.35,4.25,4.26
